"clade","thrs","repeat","phylosig","n","stat","intercept","median.trans:rep.prop","R2"
"Total",0,"total","TRUE","101","p",4.02029349431121e-05,0.0207815971488885,0.052816252651693
"Total",0,"total","TRUE","101","beta",0.99161451548555,-0.582011068140932,0.052816252651693
"Total",0,"line","TRUE","101","p",0.000189259494026039,0.149518811356502,0.020866605051752
"Total",0,"line","TRUE","101","beta",0.873926434095079,-0.766595960606299,0.020866605051752
"Total",0,"sine","TRUE","101","p",0.000566468532527509,0.493860307673618,0.00474098887356606
"Total",0,"sine","TRUE","101","beta",0.79780171303753,0.750641428098545,0.00474098887356606
"Total",0,"ltr","TRUE","101","p",0.000101762790855275,0.0172822858655093,0.0559118194634866
"Total",0,"ltr","TRUE","101","beta",0.889295235571648,-3.3271625166476,0.0559118194634866
"Total",0,"dna","TRUE","101","p",4.30627610876755e-05,0.0249451025114875,0.049760110296704
"Total",0,"dna","TRUE","101","beta",0.993743649021707,-3.07443171174807,0.049760110296704
"Total",0,"rc","TRUE","100","p",2.23150263254368e-05,6.81256216279458e-05,0.150133389660104
"Total",0,"rc","TRUE","100","beta",0.93163202082701,-30.619133825975,0.150133389660104
"Mammalia",0,"total","TRUE","46","p",0.000603050095097313,0.369616725893497,0.0183329769260399
"Mammalia",0,"total","TRUE","46","beta",0.896399834614644,-0.336012299872234,0.0183329769260399
"Mammalia",0,"line","TRUE","46","p",0.000492878409419806,0.336984803978281,0.0209676110814384
"Mammalia",0,"line","TRUE","46","beta",0.894439969636291,-0.6569050493253,0.0209676110814384
"Mammalia",0,"sine","TRUE","46","p",0.00543057489675403,0.575708222365363,0.00717417948848807
"Mammalia",0,"sine","TRUE","46","beta",0.720535675586911,0.757024158902278,0.00717417948848807
"Mammalia",0,"ltr","TRUE","46","p",0.000186660202327715,0.0868876438442736,0.0651536383333114
"Mammalia",0,"ltr","TRUE","46","beta",0.860676014211213,-3.17175802769706,0.0651536383333114
"Mammalia",0,"dna","TRUE","46","p",0.00109689990271944,0.97025685405494,3.19572966071729e-05
"Mammalia",0,"dna","TRUE","46","beta",0.792754320398116,-0.276331666386286,3.19572966071729e-05
"Mammalia",0,"rc","TRUE","46","p",0.000411035624433564,0.349959430516253,0.0198808605745531
"Mammalia",0,"rc","TRUE","46","beta",0.81919495304777,-1681.56390599046,0.0198808605745531
"Actinopterygii",0,"total","FALSE","46","p",0.000411035624433564,0.349959430516253,0.0242700282809828
"Actinopterygii",0,"total","FALSE","46","beta",0.81919495304777,-1681.56390599046,0.0242700282809828
"Actinopterygii",0,"line","FALSE","46","p",0.000411035624433564,0.349959430516253,0.040504260665615
