"sp","totlength","meanlength","number"
"Acanthochromis_polyacanthus",95478735,263.058704085344,362956
"Accipiter_nisus",63775821,205.731773093114,309995
"Ailuropoda_melanoleuca",93476475,207.032630795604,451506
"Amazona_collaria",59556165,180.438779869298,330063
"Amphilophus_citrinellus",44849019,160.22943141423,279905
"Amphiprion_ocellaris",210854176,200.241953205945,1052997
"Amphiprion_percula",90299941,253.1132984076,356757
"Anabas_testudineus",181406562,193.258527730104,938673
"Anas_platyrhynchos",68349371,193.763702494146,352746
"Anas_zonorhyncha",78466728,200.482711573396,391389
"Anolis_carolinensis",86716813,223.175407081035,388559
"Anser_brachyrhynchus",77229156,194.279853590431,397515
"Anser_cygnoides",71549420,192.548850752575,371591
"Aotus_nancymaae",90291112,192.505227788296,469032
"Apteryx_haastii",59429378,176.188321583369,337306
"Apteryx_owenii",64359429,182.81539628344,352046
"Apteryx_rowi",64689146,182.441362194176,354575
"Aquila_chrysaetos_chrysaetos",65868009,203.457708738104,323743
"Astatotilapia_calliptera",225469024,213.859449902588,1054286
"Astyanax_mexicanus",111641596,272.758935268321,409305
"Athene_cunicularia",59271298,192.268235400974,308274
"Balaenoptera_musculus",70603558,203.841490912765,346365
"Betta_splendens",146424545,185.91137805293,787604
"Bison_bison_bison",45022183,153.039335524683,294187
"Bos_grunniens",98104593,201.869609860488,485980
"Bos_mutus",72774647,186.663880267782,389870
"Bos_taurus",186933061,271.489575133688,688546
"Bubo_bubo",58644309,172.987979634699,339008
"Buteo_japonicus",57412462,183.902898564652,312189
"Cairina_moschata_domestica",80203360,202.619185363525,395833
"Calidris_pugnax",81717994,206.389320631104,395941
"Calidris_pygmaea",70432651,205.272985599664,343117
"Callithrix_jacchus",127941611,207.282518919112,617233
"Callorhinchus_milii",123577152,189.502665949,652113
"Camarhynchus_parvulus",65856285,203.695821618462,323307
"Camelus_dromedarius",80915793,209.850392128386,385588
"Canis_lupus_dingo",70759097,176.160072197672,401675
"Canis_lupus_familiaris",145356549,276.541454616712,525623
"Capra_hircus",87137579,221.161368020305,394000
"Carassius_auratus",341335410,189.790523690773,1798485
"Carlito_syrichta",57055838,171.784564154443,332136
"Castor_canadensis",57804324,186.287686596024,310296
"Catagonus_wagneri",59974041,187.391355019731,320047
"Catharus_ustulatus",65976815,171.544350697469,384605
"Cavia_aperea",30875850,150.811796943306,204731
"Cavia_porcellus",71364388,238.024901690687,299819
