species,name,size.Mbp,genecount,genedens,asmblysize.Mbp
Cairina moschata domestica,1,177.53771,1971,11.10186675,1109.207201
Cairina moschata domestica,2,140.096818,1307,9.329262568,1109.207201
Cairina moschata domestica,3,108.114341,1258,11.63582914,1109.207201
Cairina moschata domestica,4,70.524095,824,11.68395,1109.207201
Cairina moschata domestica,5,58.542804,874,14.92924732,1109.207201
Cairina moschata domestica,Z,58.129904,625,10.75178105,1109.207201
Cairina moschata domestica,7,37.958812,552,14.54207787,1109.207201
Cairina moschata domestica,6,36.378439,544,14.95391267,1109.207201
Cairina moschata domestica,8,32.135176,566,17.61309787,1109.207201
Cairina moschata domestica,9,24.761136,484,19.5467607,1109.207201
Cairina moschata domestica,11,21.927962,440,20.06570424,1109.207201
Cairina moschata domestica,13,20.846689,356,17.07705238,1109.207201
Cairina moschata domestica,12,18.946492,336,17.73415364,1109.207201
Cairina moschata domestica,10,17.65632,347,19.65301943,1109.207201
Cairina moschata domestica,14,17.081835,344,20.13835165,1109.207201
Cairina moschata domestica,15,16.665718,440,26.40150277,1109.207201
Cairina moschata domestica,16,13.61465,386,28.3518122,1109.207201
Cairina moschata domestica,19,11.6403,322,27.66251729,1109.207201
Cairina moschata domestica,21,11.568491,301,26.01895096,1109.207201
Cairina moschata domestica,20,11.134891,308,27.66080063,1109.207201
Cairina moschata domestica,18,10.034176,253,25.21382922,1109.207201
Cairina moschata domestica,22,8.305072,260,31.30617049,1109.207201
Cairina moschata domestica,24,7.617884,272,35.70545312,1109.207201
Cairina moschata domestica,25,7.454803,192,25.75520775,1109.207201
Cairina moschata domestica,27,6.710448,293,43.66325467,1109.207201
Cairina moschata domestica,29,5.143119,303,58.91366698,1109.207201
Cairina moschata domestica,23,3.997926,108,27.01400676,1109.207201
Cairina moschata domestica,28,3.122231,191,61.17420524,1109.207201
Cairina moschata domestica,26,2.721038,253,92.97922337,1109.207201
