species,name,size.Mbp,genecount,genedens,asmblysize.Mbp
Catharus ustulatus,1,165.774257,1495,9.018288045,1131.61643
Catharus ustulatus,2,124.776741,1236,9.90569228,1131.61643
Catharus ustulatus,3,120.187523,1300,10.81643059,1131.61643
Catharus ustulatus,4,77.026709,1050,13.63163523,1131.61643
Catharus ustulatus,5,76.913702,832,10.81731835,1131.61643
Catharus ustulatus,6,63.528738,1011,15.91405767,1131.61643
Catharus ustulatus,Z,46.015489,485,10.53992928,1131.61643
Catharus ustulatus,7,40.436149,565,13.97264611,1131.61643
Catharus ustulatus,8,36.548054,557,15.24020951,1131.61643
Catharus ustulatus,9,33.537716,571,17.02560783,1131.61643
Catharus ustulatus,10,26.454946,537,20.29866173,1131.61643
Catharus ustulatus,W,22.446485,183,8.152724135,1131.61643
Catharus ustulatus,11,22.310542,411,18.42178464,1131.61643
Catharus ustulatus,12,21.74526,440,20.23429474,1131.61643
Catharus ustulatus,13,21.568194,366,16.96943193,1131.61643
Catharus ustulatus,14,20.997689,354,16.85899815,1131.61643
Catharus ustulatus,15,19.392598,440,22.6890693,1131.61643
Catharus ustulatus,16,16.676293,418,25.06552266,1131.61643
Catharus ustulatus,17,15.618554,371,23.75379949,1131.61643
Catharus ustulatus,18,14.366659,391,27.21579179,1131.61643
Catharus ustulatus,19,12.285394,91,7.407169847,1131.61643
Catharus ustulatus,20,12.176784,329,27.01862824,1131.61643
Catharus ustulatus,21,11.336639,302,26.63928877,1131.61643
Catharus ustulatus,22,11.098648,345,31.08486727,1131.61643
Catharus ustulatus,23,8.84785,398,44.98267941,1131.61643
Catharus ustulatus,24,8.463716,273,32.2553356,1131.61643
Catharus ustulatus,25,8.277587,273,32.98062588,1131.61643
Catharus ustulatus,26,7.731926,289,37.37749171,1131.61643
Catharus ustulatus,27,7.348437,214,29.12183911,1131.61643
Catharus ustulatus,28,6.915658,192,27.76308487,1131.61643
Catharus ustulatus,29,6.627226,311,46.92762854,1131.61643
Catharus ustulatus,30,4.023379,279,69.34469758,1131.61643
Catharus ustulatus,31,3.655338,231,63.19525034,1131.61643
Catharus ustulatus,32,2.810279,155,55.15466614,1131.61643
Catharus ustulatus,33,2.284362,125,54.71987365,1131.61643
Catharus ustulatus,34,1.869546,67,35.83757768,1131.61643
Catharus ustulatus,35,1.647614,75,45.52037067,1131.61643
Catharus ustulatus,36,1.644514,98,59.59207401,1131.61643
Catharus ustulatus,37,1.317711,50,37.94458724,1131.61643
Catharus ustulatus,38,0.955846,161,168.437175,1131.61643
Catharus ustulatus,39,0.928467,41,44.15881232,1131.61643
Catharus ustulatus,40,0.904802,31,34.26163956,1131.61643
