species,name,size.Mbp,genecount,genedens,asmblysize.Mbp
Gadus morhua,4,43.798135,1573,35.91477126,669.949713
Gadus morhua,16,34.794352,1398,40.17893479,669.949713
Gadus morhua,7,34.137969,1544,45.22823253,669.949713
Gadus morhua,3,30.954429,1307,42.22336002,669.949713
Gadus morhua,12,30.948897,1308,42.26321862,669.949713
Gadus morhua,1,30.875876,1417,45.89343473,669.949713
Gadus morhua,11,30.713045,1419,46.20186634,669.949713
Gadus morhua,8,29.710654,1458,49.07330549,669.949713
Gadus morhua,14,29.586942,1121,37.88833601,669.949713
Gadus morhua,13,28.829685,1186,41.13815326,669.949713
Gadus morhua,2,28.732775,1551,53.98016725,669.949713
Gadus morhua,15,28.657694,1073,37.44195189,669.949713
Gadus morhua,6,27.76277,1153,41.53043807,669.949713
Gadus morhua,10,27.234273,1011,37.12234213,669.949713
Gadus morhua,9,26.487948,1372,51.79714185,669.949713
Gadus morhua,5,25.300426,1336,52.80543498,669.949713
Gadus morhua,23,25.242006,920,36.44718253,669.949713
Gadus morhua,18,24.902675,1039,41.7224254,669.949713
Gadus morhua,20,24.843429,974,39.20553801,669.949713
Gadus morhua,22,23.744039,1042,43.88469881,669.949713
Gadus morhua,21,22.358821,999,44.68035233,669.949713
Gadus morhua,19,22.015597,788,35.79280635,669.949713
Gadus morhua,17,21.723002,996,45.85001649,669.949713
