species,name,size.Mbp,genecount,genedens,asmblysize.Mbp
Lynx canadensis,A1,240.01266,1540,6.416328205,2408.883772
Lynx canadensis,C1,220.95466,2100,9.504212312,2408.883772
Lynx canadensis,B1,205.980852,1228,5.961719199,2408.883772
Lynx canadensis,A2,168.988343,1818,10.75813851,2408.883772
Lynx canadensis,C2,158.927374,1082,6.808141183,2408.883772
Lynx canadensis,B2,152.753185,1293,8.464635287,2408.883772
Lynx canadensis,B3,146.106016,1586,10.85513139,2408.883772
Lynx canadensis,B4,141.311636,1391,9.843492294,2408.883772
Lynx canadensis,A3,139.831168,1313,9.389895106,2408.883772
Lynx canadensis,X,122.081366,886,7.257454835,2408.883772
Lynx canadensis,D1,115.715915,1583,13.6800543,2408.883772
Lynx canadensis,D3,93.448339,800,8.560879825,2408.883772
Lynx canadensis,D4,93.445709,902,9.652663666,2408.883772
Lynx canadensis,D2,87.252839,718,8.228958602,2408.883772
Lynx canadensis,F2,83.270606,509,6.112601126,2408.883772
Lynx canadensis,F1,69.073222,770,11.1475906,2408.883772
Lynx canadensis,E2,61.563313,1228,19.9469447,2408.883772
Lynx canadensis,E1,60.670153,1233,20.32300792,2408.883772
Lynx canadensis,E3,41.05083,744,18.12387228,2408.883772
