species,name,size.Mbp,genecount,genedens,asmblysize.Mbp
Malurus cyaneus samueli,2,163.994238,1850,11.28088415,1078.874851
Malurus cyaneus samueli,1,125.327729,1344,10.72388378,1078.874851
Malurus cyaneus samueli,3,108.862264,1141,10.48113422,1078.874851
Malurus cyaneus samueli,4,72.114811,840,11.64809265,1078.874851
Malurus cyaneus samueli,Z,68.919493,623,9.039532546,1078.874851
Malurus cyaneus samueli,1A,68.113514,866,12.71407022,1078.874851
Malurus cyaneus samueli,5,54.64896,933,17.07260303,1078.874851
Malurus cyaneus samueli,7,35.833528,539,15.04177875,1078.874851
Malurus cyaneus samueli,6,33.730512,543,16.09818434,1078.874851
Malurus cyaneus samueli,8,30.903845,552,17.86185505,1078.874851
Malurus cyaneus samueli,9,24.524688,468,19.08281157,1078.874851
Malurus cyaneus samueli,12,21.599073,370,17.13036481,1078.874851
Malurus cyaneus samueli,10,20.322568,428,21.06033056,1078.874851
Malurus cyaneus samueli,11,19.365417,308,15.90464073,1078.874851
Malurus cyaneus samueli,14,19.339659,506,26.16385325,1078.874851
Malurus cyaneus samueli,13,19.04198,399,20.95370334,1078.874851
Malurus cyaneus samueli,4A,18.590865,306,16.45969674,1078.874851
Malurus cyaneus samueli,20,14.958557,367,24.53445209,1078.874851
Malurus cyaneus samueli,15,14.687692,383,26.07625487,1078.874851
Malurus cyaneus samueli,17,12.352952,316,25.58092997,1078.874851
Malurus cyaneus samueli,18,12.157022,317,26.07546486,1078.874851
Malurus cyaneus samueli,21,5.216931,162,31.05273963,1078.874851
Malurus cyaneus samueli,28,3.944638,179,45.37805497,1078.874851
Malurus cyaneus samueli,23,3.934935,103,26.17578181,1078.874851
Malurus cyaneus samueli,27,2.336867,132,56.48588473,1078.874851
