species,name,size.Mbp,genecount,genedens,asmblysize.Mbp
Melopsittacus undulatus,1,155.071706,1431,9.227989018,1171.617451
Melopsittacus undulatus,2,121.023092,1183,9.774994015,1171.617451
Melopsittacus undulatus,3,118.16075,1256,10.62958724,1171.617451
Melopsittacus undulatus,4,112.750338,1651,14.64297162,1171.617451
Melopsittacus undulatus,Z,104.092594,1166,11.20156541,1171.617451
Melopsittacus undulatus,5,87.083378,1076,12.35597452,1171.617451
Melopsittacus undulatus,6,86.47795,1447,16.73258906,1171.617451
Melopsittacus undulatus,7,73.26866,730,9.963332208,1171.617451
Melopsittacus undulatus,8,57.497735,918,15.96584631,1171.617451
Melopsittacus undulatus,9,45.297783,769,16.97654828,1171.617451
Melopsittacus undulatus,10,35.27736,749,21.2317475,1171.617451
Melopsittacus undulatus,11,24.154513,629,26.04068234,1171.617451
Melopsittacus undulatus,12,23.105471,636,27.52594829,1171.617451
Melopsittacus undulatus,13,12.147643,340,27.98896872,1171.617451
Melopsittacus undulatus,14,6.967098,255,36.60060473,1171.617451
Melopsittacus undulatus,15,6.662068,184,27.61905162,1171.617451
Melopsittacus undulatus,16,6.113794,261,42.69034907,1171.617451
Melopsittacus undulatus,17,5.218183,301,57.68291377,1171.617451
Melopsittacus undulatus,18,5.029921,195,38.76800451,1171.617451
Melopsittacus undulatus,19,4.92288,291,59.11173947,1171.617451
Melopsittacus undulatus,W,4.022347,42,10.44166503,1171.617451
Melopsittacus undulatus,21,2.555005,226,88.45383864,1171.617451
Melopsittacus undulatus,20,2.05574,213,103.6123245,1171.617451
Melopsittacus undulatus,22,1.817768,161,88.57015857,1171.617451
Melopsittacus undulatus,23,1.430276,124,86.69655367,1171.617451
Melopsittacus undulatus,24,1.01839,69,67.75400387,1171.617451
Melopsittacus undulatus,27,0.936804,83,88.59910931,1171.617451
Melopsittacus undulatus,26,0.867402,52,59.94913546,1171.617451
Melopsittacus undulatus,30,0.613772,43,70.05858853,1171.617451
Melopsittacus undulatus,25,0.425885,40,93.92206816,1171.617451
Melopsittacus undulatus,29,0.368675,23,62.38556995,1171.617451
Melopsittacus undulatus,28,0.352337,24,68.11660427,1171.617451
