species,name,size.Mbp,genecount,genedens,asmblysize.Mbp
Ornithorhynchus anatinus,1,186.506016,2183,11.70471627,1858.535571
Ornithorhynchus anatinus,2,171.719663,2066,12.03123721,1858.535571
Ornithorhynchus anatinus,3,141.987082,1958,13.78998689,1858.535571
Ornithorhynchus anatinus,4,136.094389,1546,11.35976297,1858.535571
Ornithorhynchus anatinus,X1,125.040914,1852,14.81115213,1858.535571
Ornithorhynchus anatinus,5,110.29303,1676,15.19588319,1858.535571
Ornithorhynchus anatinus,7,83.338043,1131,13.57123301,1858.535571
Ornithorhynchus anatinus,8,70.949814,937,13.20651806,1858.535571
Ornithorhynchus anatinus,X5,70.13932,1405,20.03156004,1858.535571
Ornithorhynchus anatinus,11,63.506031,1171,18.43919359,1858.535571
Ornithorhynchus anatinus,9,61.861223,672,10.86302481,1858.535571
Ornithorhynchus anatinus,12,60.456049,581,9.610287301,1858.535571
Ornithorhynchus anatinus,10,59.444696,1008,16.95693759,1858.535571
Ornithorhynchus anatinus,14,52.889406,737,13.93473771,1858.535571
Ornithorhynchus anatinus,6,51.493492,700,13.59395086,1858.535571
Ornithorhynchus anatinus,16,46.397275,822,17.71655771,1858.535571
Ornithorhynchus anatinus,17,45.53667,872,19.14940201,1858.535571
Ornithorhynchus anatinus,18,44.684501,551,12.33089746,1858.535571
Ornithorhynchus anatinus,13,42.294642,749,17.70909894,1858.535571
Ornithorhynchus anatinus,19,35.120541,449,12.7845411,1858.535571
Ornithorhynchus anatinus,X3,33.863336,412,12.16655087,1858.535571
Ornithorhynchus anatinus,20,30.535534,458,14.99891896,1858.535571
Ornithorhynchus anatinus,X2,29.662106,625,21.07065493,1858.535571
Ornithorhynchus anatinus,15,26.375019,408,15.46918317,1858.535571
Ornithorhynchus anatinus,21,24.514859,512,20.88529247,1858.535571
Ornithorhynchus anatinus,X4,8.639456,211,24.42283403,1858.535571
