species,name,size.Mbp,genecount,genedens,asmblysize.Mbp
Pan paniscus,2B,247.869975,1038,4.187679448,3286.627333
Pan paniscus,1,229.774977,2880,12.53400191,3286.627333
Pan paniscus,3,205.426864,1815,8.835261195,3286.627333
Pan paniscus,4,195.804263,1322,6.75164054,3286.627333
Pan paniscus,5,183.735486,1413,7.690403366,3286.627333
Pan paniscus,6,173.848474,1591,9.151647773,3286.627333
Pan paniscus,7,162.613886,1439,8.849182781,3286.627333
Pan paniscus,X,155.392059,1296,8.340194527,3286.627333
Pan paniscus,8,144.709823,1079,7.456301014,3286.627333
Pan paniscus,9,138.149186,1142,8.266425833,3286.627333
Pan paniscus,12,135.337776,1538,11.36415896,3286.627333
Pan paniscus,10,134.942546,1133,8.396165876,3286.627333
Pan paniscus,11,134.183262,1697,12.64688289,3286.627333
Pan paniscus,13,114.479721,608,5.310984292,3286.627333
Pan paniscus,2A,114.371477,1011,8.839616542,3286.627333
Pan paniscus,14,107.357366,1099,10.23683834,3286.627333
Pan paniscus,15,99.763055,969,9.713014502,3286.627333
Pan paniscus,16,90.481686,1054,11.64876614,3286.627333
Pan paniscus,17,83.442489,1485,17.79668869,3286.627333
Pan paniscus,18,77.229886,508,6.577764468,3286.627333
Pan paniscus,19,64.41161,1675,26.00462867,3286.627333
Pan paniscus,20,62.195757,813,13.07163124,3286.627333
Pan paniscus,22,50.109623,619,12.35291672,3286.627333
Pan paniscus,21,46.27598,313,6.763768158,3286.627333
