species,name,size.Mbp,genecount,genedens,asmblysize.Mbp
Strigops habroptila,1,172.115758,1800,10.45807787,1165.621973
Strigops habroptila,2,104.142482,1219,11.70511761,1165.621973
Strigops habroptila,3,101.254409,1441,14.23147905,1165.621973
Strigops habroptila,4,88.151028,1280,14.52053401,1165.621973
Strigops habroptila,5,86.46039,1713,19.81254075,1165.621973
Strigops habroptila,6,83.14721,1355,16.29639768,1165.621973
Strigops habroptila,7,76.401667,936,12.25104159,1165.621973
Strigops habroptila,8,69.915743,898,12.84403142,1165.621973
Strigops habroptila,9,63.755163,1252,19.63762527,1165.621973
Strigops habroptila,10,43.987489,938,21.32424517,1165.621973
Strigops habroptila,11,43.764472,627,14.32668947,1165.621973
Strigops habroptila,12,39.18711,887,22.63499401,1165.621973
Strigops habroptila,13,35.700789,317,8.87935558,1165.621973
Strigops habroptila,15,27.433492,740,26.97432758,1165.621973
Strigops habroptila,14,16.47616,435,26.40178294,1165.621973
Strigops habroptila,17,12.884122,377,29.26082196,1165.621973
Strigops habroptila,18,12.307978,361,29.33056916,1165.621973
Strigops habroptila,19,8.419051,292,34.68324399,1165.621973
Strigops habroptila,16,7.441144,206,27.68391527,1165.621973
Strigops habroptila,20,5.789228,321,55.44780755,1165.621973
Strigops habroptila,21,5.645757,324,57.38822978,1165.621973
