"divergence","sequence.lengths_bp","percent.of.genome","repeat.group"
0,48429901,1.36458371141462,"DNA"
1,57373872,1.61659325283335,"DNA"
2,50092424,1.41142774286643,"DNA"
3,34586831,0.974534848048731,"DNA"
4,23447500,0.660667808786027,"DNA"
5,19465121,0.548458421530009,"DNA"
6,17053564,0.480509255139024,"DNA"
7,14141982,0.39847114872935,"DNA"
8,10007779,0.281983896907765,"DNA"
9,8059159,0.227078661571092,"DNA"
10,7198833,0.202837710797592,"DNA"
11,7506228,0.211499017166364,"DNA"
12,6844624,0.192857351105416,"DNA"
13,7039390,0.198345169697847,"DNA"
14,7935811,0.22360315019981,"DNA"
15,7346208,0.206990218242729,"DNA"
16,6123500,0.172538621477822,"DNA"
17,5241773,0.147694666043875,"DNA"
18,4430499,0.124835827536355,"DNA"
19,4072970,0.114761921959749,"DNA"
20,4023824,0.113377161105475,"DNA"
21,3599612,0.101424363898918,"DNA"
22,2627856,0.0740437089380622,"DNA"
23,1983856,0.0558980614763626,"DNA"
24,1750980,0.0493364375659732,"DNA"
25,1726112,0.048635745079828,"DNA"
26,1739031,0.0489997569114393,"DNA"
27,1478232,0.0416513613953465,"DNA"
28,1281034,0.0360950176249237,"DNA"
29,1108833,0.0312430011054328,"DNA"
30,890627,0.0250947260277502,"DNA"
31,772504,0.0217664367185602,"DNA"
32,711252,0.0200405715037714,"DNA"
33,646036,0.0182030147570909,"DNA"
34,544458,0.0153409051641336,"DNA"
35,435948,0.0122834762727221,"DNA"
36,330039,0.00929933438293769,"DNA"
37,262161,0.00738677186988607,"DNA"
38,197761,0.00557220712371611,"DNA"
39,146707,0.00413368556236578,"DNA"
40,125654,0.00354048631390124,"DNA"
41,106585,0.00300318918432492,"DNA"
42,131117,0.00369441437614234,"DNA"
43,80361,0.00226428940321373,"DNA"
44,64783,0.00182535633464485,"DNA"
45,44506,0.00125402202784224,"DNA"
46,28791,0.00081122878271707,"DNA"
47,16824,0.000474040951701295,"DNA"
48,11335,0.000319380301208641,"DNA"
49,6493,0.000182949827591328,"DNA"
50,2725,7.67808840576575e-05,"DNA"
51,1326,3.73620008295243e-05,"DNA"
