"species","contigName","contigSize.bp","contigGeneCount","contigGeneDens.genesPerBp","asmblySize.bp","asmblyGeneCount"
"Delphinapterus leucas","ML702122.1",120963982,938,7.75437435583098e-06,2362758273,21995
"Delphinapterus leucas","ML702094.1",95687447,693,7.24232928902367e-06,2362758273,21995
"Delphinapterus leucas","ML702087.1",87608115,488,5.57026024358588e-06,2362758273,21995
"Delphinapterus leucas","ML702084.1",84142172,825,9.80483365701565e-06,2362758273,21995
"Delphinapterus leucas","ML702082.1",77325916,608,7.86282311870706e-06,2362758273,21995
"Delphinapterus leucas","ML702081.1",72509879,415,5.72335805442456e-06,2362758273,21995
"Delphinapterus leucas","ML702090.1",71213447,451,6.33307358370112e-06,2362758273,21995
"Delphinapterus leucas","ML702075.1",67776947,603,8.89683036327972e-06,2362758273,21995
"Delphinapterus leucas","ML702060.1",54831906,361,6.58375800396215e-06,2362758273,21995
"Delphinapterus leucas","ML702058.1",46083321,779,1.69041636560872e-05,2362758273,21995
"Delphinapterus leucas","ML702054.1",45860217,384,8.37327045356109e-06,2362758273,21995
"Delphinapterus leucas","ML702049.1",44281946,416,9.3943477551777e-06,2362758273,21995
"Delphinapterus leucas","ML702047.1",39921424,301,7.53981120513136e-06,2362758273,21995
"Delphinapterus leucas","ML702070.1",36445188,518,1.42131246517373e-05,2362758273,21995
"Delphinapterus leucas","ML702044.1",36016895,342,9.49554368859392e-06,2362758273,21995
"Delphinapterus leucas","ML702040.1",35503952,213,5.99933213068787e-06,2362758273,21995
"Delphinapterus leucas","ML702041.1",34963144,150,4.29023202261215e-06,2362758273,21995
"Delphinapterus leucas","ML702039.1",34821663,234,6.71995475919688e-06,2362758273,21995
"Delphinapterus leucas","ML702038.1",32799987,314,9.57317452595332e-06,2362758273,21995
"Delphinapterus leucas","ML702042.1",32295254,255,7.89589702561249e-06,2362758273,21995
"Delphinapterus leucas","ML702046.1",31183418,455,1.459108812254e-05,2362758273,21995
"Delphinapterus leucas","ML702037.1",29910270,465,1.55464995802445e-05,2362758273,21995
"Delphinapterus leucas","ML702034.1",29396263,374,1.27227056037701e-05,2362758273,21995
"Delphinapterus leucas","ML702033.1",28468017,315,1.10650488932896e-05,2362758273,21995
"Delphinapterus leucas","ML702062.1",27971170,238,8.50876098497131e-06,2362758273,21995
"Delphinapterus leucas","ML702029.1",27038758,386,1.42758036445313e-05,2362758273,21995
"Delphinapterus leucas","ML702031.1",27017546,146,5.40389567579528e-06,2362758273,21995
"Delphinapterus leucas","ML702030.1",26132847,277,1.05996870528496e-05,2362758273,21995
"Delphinapterus leucas","ML702035.1",25939515,134,5.16586374109154e-06,2362758273,21995
"Delphinapterus leucas","ML702032.1",25579472,161,6.29410958912678e-06,2362758273,21995
"Delphinapterus leucas","ML702027.1",25496103,163,6.39313388402926e-06,2362758273,21995
"Delphinapterus leucas","ML702036.1",25355778,601,2.37026842560303e-05,2362758273,21995
"Delphinapterus leucas","ML702028.1",25236026,179,7.09303437870923e-06,2362758273,21995
"Delphinapterus leucas","ML702025.1",24937449,114,4.5714379205347e-06,2362758273,21995
"Delphinapterus leucas","ML702063.1",24932380,178,7.13931040678828e-06,2362758273,21995
"Delphinapterus leucas","ML702061.1",23820907,421,1.76735503816039e-05,2362758273,21995
"Delphinapterus leucas","ML702026.1",23237965,87,3.74387344158578e-06,2362758273,21995
"Delphinapterus leucas","ML702018.1",22274384,298,1.33785966875672e-05,2362758273,21995
"Delphinapterus leucas","ML702023.1",21770592,114,5.2364216829749e-06,2362758273,21995
"Delphinapterus leucas","ML702057.1",21609802,137,6.33971565310964e-06,2362758273,21995
"Delphinapterus leucas","ML702024.1",21287079,764,3.58903163745481e-05,2362758273,21995
"Delphinapterus leucas","ML702022.1",20954295,297,1.4173705199817e-05,2362758273,21995
"Delphinapterus leucas","ML702066.1",20090228,170,8.46182532124573e-06,2362758273,21995
"Delphinapterus leucas","ML702053.1",19827246,428,2.15864573425881e-05,2362758273,21995
