species,contigName,contigSize.bp,contigGeneCount,contigGeneDens.genesPerBp,asmblySize.bp,asmblyGeneCount
Choloepus hoffmanni,GeneScaffold_3648,503761,2,3.9701366322522e-06,2467493193,16060
Choloepus hoffmanni,GeneScaffold_5701,404125,2,4.94896381070214e-06,2467493193,16060
Choloepus hoffmanni,GeneScaffold_1494,354827,3,8.45482446375276e-06,2467493193,16060
Choloepus hoffmanni,GeneScaffold_1099,352164,2,5.67917220385957e-06,2467493193,16060
Choloepus hoffmanni,GeneScaffold_3171,348687,2,5.73580317017841e-06,2467493193,16060
Choloepus hoffmanni,GeneScaffold_7709,338337,2,5.91126598627995e-06,2467493193,16060
Choloepus hoffmanni,GeneScaffold_6297,328561,2,6.08714972257815e-06,2467493193,16060
Choloepus hoffmanni,GeneScaffold_4759,322215,2,6.20703567493754e-06,2467493193,16060
Choloepus hoffmanni,GeneScaffold_5265,303975,3,9.86923266716013e-06,2467493193,16060
Choloepus hoffmanni,GeneScaffold_2360,300458,2,6.65650440327766e-06,2467493193,16060
Choloepus hoffmanni,GeneScaffold_4670,294745,3,1.01782897080527e-05,2467493193,16060
Choloepus hoffmanni,GeneScaffold_413,294165,2,6.79890537623443e-06,2467493193,16060
Choloepus hoffmanni,GeneScaffold_4344,287349,4,1.39203546906375e-05,2467493193,16060
Choloepus hoffmanni,GeneScaffold_7662,286728,2,6.97525180659022e-06,2467493193,16060
Choloepus hoffmanni,GeneScaffold_905,285840,2,6.99692135460397e-06,2467493193,16060
Choloepus hoffmanni,GeneScaffold_1962,277334,2,7.21152112615114e-06,2467493193,16060
