"species","contigName","contigSize.bp","contigGeneCount","contigGeneDens.genesPerBp","asmblySize.bp","asmblyGeneCount"
"Phocoena sinus","1",185845356,2187,1.17678485331643e-05,2371524154,22721
"Phocoena sinus","2",178563925,1790,1.00244212261799e-05,2371524154,22721
"Phocoena sinus","3",174291665,1717,9.851302986864e-06,2371524154,22721
"Phocoena sinus","4",146127150,950,6.5011874932208e-06,2371524154,22721
"Phocoena sinus","5",139762554,802,5.73830383780766e-06,2371524154,22721
"Phocoena sinus","X",131664873,1018,7.73175089759894e-06,2371524154,22721
"Phocoena sinus","6",115952311,1079,9.30554976174645e-06,2371524154,22721
"Phocoena sinus","7",115469292,813,7.04083298614146e-06,2371524154,22721
"Phocoena sinus","8",110408561,1302,1.17925638030913e-05,2371524154,22721
"Phocoena sinus","9",106736052,808,7.57007576034384e-06,2371524154,22721
"Phocoena sinus","11",104118372,1243,1.19383349559096e-05,2371524154,22721
"Phocoena sinus","10",102828027,1168,1.13587708922977e-05,2371524154,22721
"Phocoena sinus","13",90400161,744,8.23007383803221e-06,2371524154,22721
"Phocoena sinus","12",90399378,527,5.82968612903509e-06,2371524154,22721
"Phocoena sinus","14",89762611,800,8.91239672161497e-06,2371524154,22721
"Phocoena sinus","15",88287594,1342,1.52003236151163e-05,2371524154,22721
"Phocoena sinus","16",85252673,746,8.75045876860659e-06,2371524154,22721
"Phocoena sinus","18",79885847,420,5.25750199531589e-06,2371524154,22721
"Phocoena sinus","17",79603858,525,6.59515773720414e-06,2371524154,22721
"Phocoena sinus","19",59501331,1245,2.09239016854934e-05,2371524154,22721
"Phocoena sinus","20",58878645,1245,2.11451876992074e-05,2371524154,22721
"Phocoena sinus","21",35802323,225,6.28450841025036e-06,2371524154,22721
"Phocoena sinus","VOSU01000016.1",267968,2,7.46357774062575e-06,2371524154,22721
"Phocoena sinus","VOSU01000017.1",254636,2,7.85434895301529e-06,2371524154,22721
"Phocoena sinus","VOSU01000019.1",103419,2,1.93388062154923e-05,2371524154,22721
"Phocoena sinus","VOSU01000023.1",69447,2,2.87989401990007e-05,2371524154,22721
"Phocoena sinus","VOSU01000031.1",43034,5,0.000116187200817958,2371524154,22721
"Phocoena sinus","VOSU01000033.1",39634,2,5.0461724781753e-05,2371524154,22721
