species,contig.name,contig.size_bp,contig.gene.count,contig.gene.dens_genes.per.bp,asmbly.size_bp,asmbly.gene.count
Haplochromis burtoni,JH425323.1,7036168,242,3.43937211277502e-05,831411547,23883
Haplochromis burtoni,JH425322.1,7031440,225,3.19991353122547e-05,831411547,23883
Haplochromis burtoni,JH425324.1,6138974,121,1.97101339735272e-05,831411547,23883
Haplochromis burtoni,JH425325.1,5896988,219,3.71376031289194e-05,831411547,23883
Haplochromis burtoni,JH425326.1,5575904,185,3.31784765304424e-05,831411547,23883
Haplochromis burtoni,JH425327.1,5427868,195,3.59257078469852e-05,831411547,23883
Haplochromis burtoni,JH425328.1,5262727,188,3.57229246358399e-05,831411547,23883
Haplochromis burtoni,JH425329.1,5219019,241,4.61772605158173e-05,831411547,23883
Haplochromis burtoni,JH425330.1,4623598,155,3.35236757174824e-05,831411547,23883
Haplochromis burtoni,JH425331.1,4620461,166,3.59271509920763e-05,831411547,23883
Haplochromis burtoni,JH425332.1,4448830,88,1.97804816097716e-05,831411547,23883
Haplochromis burtoni,JH425333.1,4159762,114,2.74054140597467e-05,831411547,23883
Haplochromis burtoni,JH425334.1,4128974,77,1.86487006215103e-05,831411547,23883
Haplochromis burtoni,JH425336.1,4039412,139,3.44109489202884e-05,831411547,23883
Haplochromis burtoni,JH425335.1,4037891,139,3.44239108980406e-05,831411547,23883
Haplochromis burtoni,JH425337.1,3911486,195,4.98531760052318e-05,831411547,23883
Haplochromis burtoni,JH425338.1,3728540,84,2.25289255311731e-05,831411547,23883
Haplochromis burtoni,JH425339.1,3650284,116,3.17783493010407e-05,831411547,23883
Haplochromis burtoni,JH425340.1,3626725,117,3.22605105156856e-05,831411547,23883
Haplochromis burtoni,JH425341.1,3526822,102,2.89212214282433e-05,831411547,23883
Haplochromis burtoni,JH425342.1,3524234,105,2.97937083632926e-05,831411547,23883
Haplochromis burtoni,JH425343.1,3485132,82,2.35285205840123e-05,831411547,23883
Haplochromis burtoni,JH425344.1,3438408,120,3.48998722664675e-05,831411547,23883
Haplochromis burtoni,JH425345.1,3387829,53,1.56442370615518e-05,831411547,23883
Haplochromis burtoni,JH425346.1,3272143,120,3.667321385404e-05,831411547,23883
Haplochromis burtoni,JH425347.1,3265489,144,4.40975302626957e-05,831411547,23883
Haplochromis burtoni,JH425348.1,3236971,97,2.9966286383165e-05,831411547,23883
Haplochromis burtoni,JH425349.1,3219458,71,2.20534015352895e-05,831411547,23883
Haplochromis burtoni,JH425350.1,3205716,47,1.46613112328104e-05,831411547,23883
Haplochromis burtoni,JH425351.1,3196325,55,1.7207261464338e-05,831411547,23883
Haplochromis burtoni,JH425352.1,3171080,113,3.56345472205053e-05,831411547,23883
Haplochromis burtoni,JH425356.1,3079391,64,2.07833302104215e-05,831411547,23883
Haplochromis burtoni,JH425353.1,3066216,98,3.19612186486536e-05,831411547,23883
Haplochromis burtoni,JH425354.1,3063223,60,1.95872125535751e-05,831411547,23883
Haplochromis burtoni,JH425355.1,3036453,55,1.81132393618475e-05,831411547,23883
Haplochromis burtoni,JH425357.1,3020915,121,4.00540895721992e-05,831411547,23883
Haplochromis burtoni,JH425358.1,3002544,145,4.82923813939113e-05,831411547,23883
Haplochromis burtoni,JH425359.1,3002043,110,3.66417136596644e-05,831411547,23883
Haplochromis burtoni,JH425360.1,2984459,58,1.94340079726342e-05,831411547,23883
Haplochromis burtoni,JH425361.1,2877665,61,2.11977419192297e-05,831411547,23883
