"species","name","size.Mbp","genecount","genedens","asmblysize.Mbp"
"Salmo salar","1",174.498729,3804,21.7995857150341,2756.584103
"Salmo salar","9",161.282225,3504,21.725890748345,2756.584103
"Salmo salar","10",125.877811,2948,23.4195365853637,2756.584103
"Salmo salar","13",114.417674,2679,23.4142148353759,2756.584103
"Salmo salar","11",111.868677,2405,21.4984217610797,2756.584103
"Salmo salar","15",110.670232,2707,24.4600553471326,2756.584103
"Salmo salar","3",105.78008,3173,29.9961958811149,2756.584103
"Salmo salar","14",101.980477,2596,25.4558526922756,2756.584103
"Salmo salar","12",101.677876,2757,27.1150431977946,2756.584103
"Salmo salar","20",96.847506,2068,21.3531569930154,2756.584103
"Salmo salar","16",96.486271,2149,22.2725987617451,2756.584103
"Salmo salar","6",96.060288,2616,27.2328977402191,2756.584103
"Salmo salar","2",95.481959,2874,30.0999270448567,2756.584103
"Salmo salar","5",92.788608,2419,26.070010663378,2756.584103
"Salmo salar","4",90.536438,2255,24.9070987307895,2756.584103
"Salmo salar","19",88.107222,1660,18.8406802793079,2756.584103
"Salmo salar","17",87.489397,1985,22.6884636089102,2756.584103
"Salmo salar","18",84.084598,1762,20.9550862097242,2756.584103
"Salmo salar","7",68.862998,1645,23.8880102199442,2756.584103
"Salmo salar","22",63.823863,1418,22.2173953964523,2756.584103
"Salmo salar","21",59.819933,1112,18.5891214555523,2756.584103
"Salmo salar","26",55.994222,1222,21.823680307586,2756.584103
"Salmo salar","25",54.385492,1243,22.8553600287371,2756.584103
"Salmo salar","23",52.460201,1243,23.6941524490156,2756.584103
"Salmo salar","24",49.35447,1241,25.1446322896386,2756.584103
"Salmo salar","27",45.305548,1163,25.6701452987612,2756.584103
"Salmo salar","29",43.051128,800,18.5825560714693,2756.584103
"Salmo salar","28",41.468476,926,22.3302153664871,2756.584103
"Salmo salar","8",28.860523,711,24.6357281882938,2756.584103
"Salmo salar","CAJNNT020002019.1",1.509725,30,19.8711685903062,2756.584103
"Salmo salar","CAJNNT020004214.1",1.40202,20,14.2651317384916,2756.584103
"Salmo salar","CAJNNT020003322.1",1.209298,21,17.3654467302518,2756.584103
"Salmo salar","CAJNNT020004177.1",1.096091,18,16.4219941592441,2756.584103
"Salmo salar","CAJNNT020003670.1",1.093241,38,34.7590330037018,2756.584103
"Salmo salar","CAJNNT020000882.1",1.041165,21,20.1697137341344,2756.584103
"Salmo salar","CAJNNT020000722.1",1.012902,25,24.6815585318224,2756.584103
"Salmo salar","CAJNNT020001357.1",0.892442,15,16.8078149616446,2756.584103
"Salmo salar","CAJNNT020000845.1",0.888002,29,32.6575841045403,2756.584103
"Salmo salar","CAJNNT020004202.1",0.886118,21,23.6988753190884,2756.584103
"Salmo salar","CAJNNT020004199.1",0.873775,24,27.467025263941,2756.584103
"Salmo salar","CAJNNT020001807.1",0.834495,26,31.1565677445641,2756.584103
"Salmo salar","CAJNNT020001739.1",0.819916,3,3.65891140068007,2756.584103
"Salmo salar","CAJNNT020002130.1",0.815111,21,25.7633622905347,2756.584103
"Salmo salar","CAJNNT020004198.1",0.813862,24,29.4890288525573,2756.584103
"Salmo salar","CAJNNT020002376.1",0.781456,10,12.7966257857128,2756.584103
"Salmo salar","CAJNNT020002477.1",0.742287,9,12.1246903152015,2756.584103
"Salmo salar","CAJNNT020001216.1",0.717057,11,15.3404819979444,2756.584103
"Salmo salar","CAJNNT020004192.1",0.677164,21,31.0116899303566,2756.584103
"Salmo salar","CAJNNT020001370.1",0.672305,14,20.8238820178342,2756.584103
"Salmo salar","CAJNNT020001981.1",0.671524,14,20.8481007380228,2756.584103
"Salmo salar","CAJNNT020002183.1",0.665075,17,25.5610269518475,2756.584103
"Salmo salar","CAJNNT020002040.1",0.640779,14,21.8484063928437,2756.584103
"Salmo salar","CAJNNT020004175.1",0.63967,15,23.4495911954602,2756.584103
"Salmo salar","CAJNNT020000890.1",0.637618,11,17.2517087033302,2756.584103
"Salmo salar","CAJNNT020002049.1",0.63271,13,20.5465379083624,2756.584103
"Salmo salar","CAJNNT020001827.1",0.629832,19,30.1667746319654,2756.584103
