"species","name","size.Mb","genecount","genedens","asmblysize.Mb"
"Neolamprologus brichardi","JH422273.1",23.8405,609,25.5447662590969,847.893845
"Neolamprologus brichardi","JH422274.1",19.631327,478,24.3488379568024,847.893845
"Neolamprologus brichardi","JH422275.1",19.510765,626,32.0848516190934,847.893845
"Neolamprologus brichardi","JH422276.1",16.571924,522,31.4990582867747,847.893845
"Neolamprologus brichardi","JH422277.1",15.631593,514,32.8821253214564,847.893845
"Neolamprologus brichardi","JH422278.1",15.169823,369,24.3246081381437,847.893845
"Neolamprologus brichardi","JH422279.1",15.066089,564,37.4350636054254,847.893845
"Neolamprologus brichardi","JH422280.1",13.932129,346,24.8346824810479,847.893845
"Neolamprologus brichardi","JH422281.1",13.701132,491,35.8364549732095,847.893845
"Neolamprologus brichardi","JH422282.1",12.214001,374,30.6205968052565,847.893845
"Neolamprologus brichardi","JH422283.1",11.183424,498,44.5301903960719,847.893845
"Neolamprologus brichardi","JH422284.1",11.141601,361,32.4010884970661,847.893845
"Neolamprologus brichardi","JH422285.1",10.688992,402,37.6087848133856,847.893845
"Neolamprologus brichardi","JH422286.1",10.418222,416,39.9300379661712,847.893845
"Neolamprologus brichardi","JH422287.1",10.076045,334,33.1479265922294,847.893845
"Neolamprologus brichardi","JH422288.1",9.779278,399,40.8005580780095,847.893845
"Neolamprologus brichardi","JH422289.1",9.080261,314,34.5805037982939,847.893845
"Neolamprologus brichardi","JH422290.1",8.714606,340,39.0149594829646,847.893845
"Neolamprologus brichardi","JH422291.1",7.75645,298,38.4196378497895,847.893845
"Neolamprologus brichardi","JH422292.1",7.577689,251,33.1235552158448,847.893845
"Neolamprologus brichardi","JH422293.1",7.245713,378,52.1687789731666,847.893845
"Neolamprologus brichardi","JH422294.1",6.946925,198,28.5018191501996,847.893845
"Neolamprologus brichardi","JH422295.1",6.880249,164,23.8363466205947,847.893845
"Neolamprologus brichardi","JH422296.1",6.819339,268,39.2999966712316,847.893845
"Neolamprologus brichardi","JH422297.1",6.619391,221,33.3867571805322,847.893845
"Neolamprologus brichardi","JH422298.1",6.558494,128,19.5166756270571,847.893845
"Neolamprologus brichardi","JH422299.1",6.505805,154,23.6711675188543,847.893845
"Neolamprologus brichardi","JH422300.1",6.265338,193,30.8044035293866,847.893845
"Neolamprologus brichardi","JH422301.1",6.22447,175,28.114843512781,847.893845
"Neolamprologus brichardi","JH422302.1",6.178487,123,19.9077864855911,847.893845
"Neolamprologus brichardi","JH422303.1",6.023737,139,23.075376630819,847.893845
"Neolamprologus brichardi","JH422304.1",5.992636,265,44.2209405009749,847.893845
"Neolamprologus brichardi","JH422305.1",5.862487,176,30.0213885335695,847.893845
"Neolamprologus brichardi","JH422306.1",5.521548,170,30.7884672921434,847.893845
"Neolamprologus brichardi","JH422307.1",5.499162,143,26.0039620582191,847.893845
"Neolamprologus brichardi","JH422308.1",5.414369,163,30.1050778031568,847.893845
"Neolamprologus brichardi","JH422309.1",4.996407,117,23.4168273321209,847.893845
"Neolamprologus brichardi","JH422310.1",4.94525,182,36.8029927708407,847.893845
"Neolamprologus brichardi","JH422311.1",4.905084,95,19.3676601664722,847.893845
"Neolamprologus brichardi","JH422312.1",4.773581,55,11.52174855732,847.893845
"Neolamprologus brichardi","JH422313.1",4.730395,115,24.3108662173032,847.893845
"Neolamprologus brichardi","JH422314.1",4.677733,123,26.29478852256,847.893845
"Neolamprologus brichardi","JH422315.1",4.607815,131,28.4299608382715,847.893845
"Neolamprologus brichardi","JH422317.1",4.557031,164,35.9883441653129,847.893845
