"species","contigName","contigSize.bp","contigGeneCount","contigGeneDens.genesPerBp","asmblySize.bp","asmblyGeneCount"
"Anser brachyrhynchus","NXHY01000001.1",23479615,370,1.57583503818099e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000002.1",21706544,448,2.06389372716357e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000003.1",17051885,276,1.61858938176043e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000004.1",15382636,236,1.53419738983618e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000005.1",14769664,348,2.3561808853607e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000006.1",13890248,263,1.89341471800935e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000007.1",13524337,173,1.27917545976561e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000008.1",13440083,224,1.6666563740715e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000009.1",12116359,360,2.97118961232496e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000010.1",12058741,350,2.90245888853571e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000011.1",11314121,280,2.47478350284569e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000012.1",10994798,238,2.16466005105323e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000013.1",10967357,168,1.53181846820524e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000014.1",10690490,130,1.21603406392036e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000015.1",10684212,123,1.15123136830306e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000016.1",9945833,183,1.83996654679402e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000017.1",9909856,106,1.06964218248984e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000018.1",9863647,144,1.45990625982459e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000019.1",9822184,133,1.35407766745156e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000020.1",9779050,130,1.32937248505734e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000021.1",9692036,227,2.34212914603289e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000022.1",9376328,205,2.18635696191515e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000023.1",8931550,150,1.6794397389031e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000024.1",8878771,161,1.81331402735807e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000026.1",8786162,165,1.87795308122022e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000025.1",8782221,146,1.66244962407573e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000027.1",8634862,126,1.45920108508972e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000028.1",8456404,85,1.00515538283176e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000029.1",8376117,211,2.51906700921203e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000030.1",8309679,140,1.68478228822076e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000031.1",8261941,128,1.54927274353569e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000032.1",8211059,87,1.05954664313093e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000033.1",7965476,78,9.79225849152016e-06,1116992394,22641
"Anser brachyrhynchus","NXHY01000034.1",7748335,112,1.44547183362619e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000035.1",7653362,204,2.66549524248298e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000036.1",7479990,114,1.52406620864466e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000037.1",7420125,167,2.25063593942151e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000038.1",7285465,73,1.00199506826263e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000039.1",7179107,240,3.34303416845577e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000040.1",7157160,145,2.02594325123373e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000041.1",6964213,94,1.34975768259816e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000042.1",6926887,221,3.19046636678208e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000043.1",6879501,98,1.42452192390117e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000044.1",6763536,97,1.43416106604593e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000045.1",6678311,161,2.41078919505246e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000046.1",6616378,118,1.78345312193469e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000047.1",6572245,95,1.44547258965544e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000048.1",6487896,98,1.51050510057498e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000049.1",6245733,103,1.64912589122846e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000050.1",6090279,118,1.93751386430737e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000051.1",6078143,111,1.82621567146413e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000052.1",5550665,97,1.74753835801656e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000053.1",5500240,155,2.81805884834116e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000054.1",5469282,81,1.480998785581e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000056.1",5467184,83,1.51814901419085e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000055.1",5462497,133,2.43478394587677e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000057.1",5235959,125,2.38733725760649e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000059.1",5209752,167,3.20552686577019e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000058.1",5209648,79,1.51641723202796e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000060.1",5055030,172,3.40255151799297e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000061.1",5049038,83,1.64387750696271e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000062.1",5002774,166,3.31815908533945e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000063.1",4974386,74,1.487620783751e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000064.1",4916490,148,3.01027765743447e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000065.1",4894402,84,1.71624643827785e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000066.1",4888176,60,1.22745171204965e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000067.1",4846195,87,1.79522285009167e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000068.1",4834626,58,1.19967914788031e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000070.1",4776001,80,1.67504152532631e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000069.1",4767519,151,3.16726582526467e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000071.1",4700410,42,8.9353907425097e-06,1116992394,22641
"Anser brachyrhynchus","NXHY01000072.1",4604941,136,2.95334945659456e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000073.1",4593668,87,1.89391135798234e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000074.1",4540448,224,4.93343388141435e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000075.1",4523667,88,1.94532444585333e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000076.1",4517605,110,2.43491850217095e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000077.1",4492669,70,1.55809386358087e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000078.1",4412864,61,1.38232222882917e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000079.1",4209840,94,2.23286395682496e-05,1116992394,22641
"Anser brachyrhynchus","NXHY01000080.1",4101585,49,1.19466011310262e-05,1116992394,22641
