"species","name","size.Mb","genecount","genedens","asmblysize.Mb"
"Bison bison bison","KN265167.1",43.721425,273,6.24407827512484,2953.606
"Bison bison bison","KN265153.1",31.240356,262,8.38658816820141,2953.606
"Bison bison bison","KN265185.1",25.235462,114,4.51745246431391,2953.606
"Bison bison bison","KN265204.1",23.230431,219,9.42728957547107,2953.606
"Bison bison bison","KN265004.1",22.619279,297,13.1303919987901,2953.606
"Bison bison bison","KN265169.1",21.46741,159,7.40657582819725,2953.606
"Bison bison bison","KN265214.1",21.386886,70,3.27303376470983,2953.606
"Bison bison bison","KN264750.1",20.752209,107,5.15607760118453,2953.606
"Bison bison bison","KN265158.1",20.239142,127,6.27496956145671,2953.606
"Bison bison bison","KN265203.1",20.155498,196,9.72439381056226,2953.606
"Bison bison bison","KN265197.1",19.272227,205,10.6370685650392,2953.606
"Bison bison bison","KN265099.1",17.727126,112,6.31800101155709,2953.606
"Bison bison bison","KN265019.1",17.028446,213,12.5084813963647,2953.606
"Bison bison bison","KN265086.1",16.787055,319,19.0027375260282,2953.606
"Bison bison bison","KN264778.1",16.403806,230,14.0211363143407,2953.606
"Bison bison bison","KN264895.1",16.093809,456,28.3338767099821,2953.606
"Bison bison bison","KN265085.1",15.775556,77,4.88096901307314,2953.606
"Bison bison bison","KN264896.1",15.707557,134,8.53092559205738,2953.606
"Bison bison bison","KN265091.1",15.627168,66,4.22341399286166,2953.606
"Bison bison bison","KN265162.1",15.442955,107,6.92872575229287,2953.606
"Bison bison bison","KN265210.1",15.249784,98,6.42632053017931,2953.606
"Bison bison bison","KN265168.1",15.236017,314,20.6090607538703,2953.606
"Bison bison bison","KN265045.1",14.943199,43,2.8775632312733,2953.606
"Bison bison bison","KN265188.1",14.278756,229,16.0378116973215,2953.606
"Bison bison bison","KN265212.1",14.196096,120,8.45302821282696,2953.606
"Bison bison bison","KN265215.1",14.162962,53,3.74215506615071,2953.606
"Bison bison bison","KN264783.1",14.129091,154,10.899498063959,2953.606
"Bison bison bison","KN264787.1",13.895325,228,16.4083963491318,2953.606
"Bison bison bison","KN265006.1",13.709248,192,14.0051445564337,2953.606
"Bison bison bison","KN264878.1",13.647482,89,6.52134950608471,2953.606
"Bison bison bison","KN264752.1",13.631778,138,10.1234042983975,2953.606
"Bison bison bison","KN265208.1",13.610408,70,5.14312282188749,2953.606
"Bison bison bison","KN264820.1",13.429079,80,5.95722163820765,2953.606
"Bison bison bison","KN264823.1",13.17333,92,6.98380743517395,2953.606
"Bison bison bison","KN265183.1",13.171286,45,3.4165228816685,2953.606
"Bison bison bison","KN265213.1",12.987151,80,6.15993453837566,2953.606
"Bison bison bison","KN264851.1",12.88015,31,2.40680426858383,2953.606
"Bison bison bison","KN264861.1",12.76902,56,4.38561455773427,2953.606
"Bison bison bison","KN265010.1",12.721753,119,9.3540567876141,2953.606
"Bison bison bison","KN265094.1",12.650643,121,9.5647312156386,2953.606
"Bison bison bison","KN265186.1",12.55706,320,25.4836721334453,2953.606
"Bison bison bison","KN264978.1",12.497125,77,6.16141712593897,2953.606
"Bison bison bison","KN264930.1",12.485899,97,7.7687637870529,2953.606
"Bison bison bison","KN264854.1",12.295874,51,4.14773280858278,2953.606
"Bison bison bison","KN264928.1",12.209122,207,16.9545361247107,2953.606
"Bison bison bison","KN265039.1",12.195748,107,8.77354960105768,2953.606
"Bison bison bison","KN265088.1",12.143134,78,6.42338295863325,2953.606
"Bison bison bison","KN265046.1",12.0853,83,6.86784771582005,2953.606
"Bison bison bison","KN265040.1",11.958654,36,3.01037223754446,2953.606
"Bison bison bison","KN265190.1",11.888911,74,6.22428748940925,2953.606
"Bison bison bison","KN265022.1",11.796121,61,5.17119144505215,2953.606
"Bison bison bison","KN265149.1",11.724368,68,5.79988618576285,2953.606
"Bison bison bison","KN264985.1",11.619399,143,12.3070048631603,2953.606
"Bison bison bison","KN264969.1",11.596465,94,8.10591848464166,2953.606
"Bison bison bison","KN265201.1",11.580742,215,18.5653043647808,2953.606
"Bison bison bison","KN264975.1",11.418578,89,7.79431554436989,2953.606
"Bison bison bison","KN264860.1",11.411349,121,10.6034790452908,2953.606
"Bison bison bison","KN265160.1",11.390822,45,3.95054895950442,2953.606
"Bison bison bison","KN265182.1",11.366342,149,13.1088788283865,2953.606
"Bison bison bison","KN265184.1",11.332318,46,4.05918718482838,2953.606
