species,contig.name,contig.size_bp,contig.gene.count,contig.gene.dens_genes.per.bp,asmbly.size_bp,asmbly.gene.count
Pan troglodytes,1,228573443,2980,1.30373850998954e-05,3231154112,33729
Pan troglodytes,3,202621043,1817,8.96747925633765e-06,3231154112,33729
Pan troglodytes,4,194502333,1346,6.92022547616434e-06,3231154112,33729
Pan troglodytes,5,181907262,1452,7.98208924721213e-06,3231154112,33729
Pan troglodytes,6,175400573,1637,9.33292276074834e-06,3231154112,33729
Pan troglodytes,7,166211670,1622,9.75864089446908e-06,3231154112,33729
Pan troglodytes,X,155549662,1387,8.91676640223108e-06,3231154112,33729
Pan troglodytes,8,147911612,1192,8.058866940075e-06,3231154112,33729
Pan troglodytes,12,137163284,1585,1.1555570512587e-05,3231154112,33729
Pan troglodytes,10,135926727,1225,9.01220846728694e-06,3231154112,33729
Pan troglodytes,11,135753878,1829,1.3472911617302e-05,3231154112,33729
Pan troglodytes,2B,133216015,1105,8.29479848950594e-06,3231154112,33729
Pan troglodytes,9,116767853,1206,1.03281851041656e-05,3231154112,33729
Pan troglodytes,2A,111504155,1076,9.64986461715261e-06,3231154112,33729
Pan troglodytes,13,100452976,672,6.68969727686316e-06,3231154112,33729
Pan troglodytes,14,91965084,1138,1.23742615186433e-05,3231154112,33729
Pan troglodytes,15,83230942,1030,1.23752053653316e-05,3231154112,33729
Pan troglodytes,17,83181570,1584,1.90426797666839e-05,3231154112,33729
Pan troglodytes,16,81586097,1160,1.42181087544855e-05,3231154112,33729
Pan troglodytes,18,78221452,528,6.75006646514309e-06,3231154112,33729
Pan troglodytes,20,66533130,856,1.28657707821652e-05,3231154112,33729
Pan troglodytes,19,61309027,1735,2.8299258443622e-05,3231154112,33729
Pan troglodytes,22,37823149,683,1.8057724384609e-05,3231154112,33729
Pan troglodytes,21,33445071,338,1.01061229620353e-05,3231154112,33729
Pan troglodytes,Y,26350515,153,5.80633813039328e-06,3231154112,33729
Pan troglodytes,KV420888.1,4901318,32,6.52885611584476e-06,3231154112,33729
Pan troglodytes,KV420955.1,2578865,58,2.24905142378527e-05,3231154112,33729
Pan troglodytes,KV420905.1,1984381,33,1.6629870977398e-05,3231154112,33729
Pan troglodytes,KV421455.1,1528666,26,1.70082935055794e-05,3231154112,33729
Pan troglodytes,KV420889.1,1505771,29,1.92592366302711e-05,3231154112,33729
Pan troglodytes,KV421408.1,1470481,4,2.72019835686418e-06,3231154112,33729
Pan troglodytes,KV421332.1,1376408,24,1.7436690283695e-05,3231154112,33729
Pan troglodytes,KV421417.1,1334108,13,9.74433853930866e-06,3231154112,33729
Pan troglodytes,KV420922.1,1170058,13,1.11105603311973e-05,3231154112,33729
Pan troglodytes,KV420901.1,1047587,18,1.71823438053355e-05,3231154112,33729
Pan troglodytes,KV421425.1,931537,7,7.51446265687783e-06,3231154112,33729
Pan troglodytes,KV420920.1,929303,6,6.45645177084331e-06,3231154112,33729
Pan troglodytes,KV420959.1,909572,24,2.63860365094792e-05,3231154112,33729
Pan troglodytes,KV420950.1,867907,11,1.26741690065871e-05,3231154112,33729
Pan troglodytes,KV420913.1,861040,34,3.94871318405649e-05,3231154112,33729
Pan troglodytes,KV420910.1,824947,5,6.06099543364604e-06,3231154112,33729
Pan troglodytes,KV421198.1,816705,3,3.67329696769335e-06,3231154112,33729
Pan troglodytes,KV421452.1,803537,4,4.97799105703907e-06,3231154112,33729
Pan troglodytes,KV420745.1,771443,11,1.42589925632872e-05,3231154112,33729
Pan troglodytes,KV421445.1,768713,8,1.04070049550352e-05,3231154112,33729
Pan troglodytes,KV420917.1,768439,5,6.50669734357574e-06,3231154112,33729
