species,contig.name,contig.size_bp,contig.gene.count,contig.gene.dens_genes.per.bp,asmbly.size_bp,asmbly.gene.count
Larimichthys crocea,III,52095323,1798,3.45136549014198e-05,657923191,23958
Larimichthys crocea,XIII,48777100,1902,3.89937081130285e-05,657923191,23958
Larimichthys crocea,I,43682218,1312,3.00351049024113e-05,657923191,23958
Larimichthys crocea,X,40317218,1613,4.00077207708131e-05,657923191,23958
Larimichthys crocea,VIII,33955600,1030,3.03337299296729e-05,657923191,23958
Larimichthys crocea,XII,31676789,1643,5.18676309016043e-05,657923191,23958
Larimichthys crocea,XVII,29449875,1040,3.53142415714838e-05,657923191,23958
Larimichthys crocea,VII,29365971,1093,3.72199509425382e-05,657923191,23958
Larimichthys crocea,VI,27037660,1098,4.06100232046708e-05,657923191,23958
Larimichthys crocea,XI,24268867,858,3.5353937206875e-05,657923191,23958
Larimichthys crocea,XV,24124360,994,4.12031655969319e-05,657923191,23958
Larimichthys crocea,XVI,23718729,928,3.91251993308748e-05,657923191,23958
Larimichthys crocea,XXII,23140888,884,3.82007812319043e-05,657923191,23958
Larimichthys crocea,XVIII,22283009,781,3.50491264442787e-05,657923191,23958
Larimichthys crocea,XXI,22273420,843,3.78478024479402e-05,657923191,23958
Larimichthys crocea,XXIII,21415293,593,2.76904920236207e-05,657923191,23958
Larimichthys crocea,XXIV,19906365,850,4.26999103050708e-05,657923191,23958
Larimichthys crocea,XX,18787343,560,2.98073016498395e-05,657923191,23958
Larimichthys crocea,II,14376772,535,3.72128040981661e-05,657923191,23958
Larimichthys crocea,XIV,14218520,576,4.05105454013498e-05,657923191,23958
Larimichthys crocea,IX,13800884,575,4.16639977555061e-05,657923191,23958
Larimichthys crocea,XIX,13393637,409,3.05368885240058e-05,657923191,23958
Larimichthys crocea,IV,6444570,168,2.60684576317737e-05,657923191,23958
Larimichthys crocea,V,5657075,87,1.53789723487845e-05,657923191,23958
Larimichthys crocea,JRPU02000046.1,2611912,106,4.05832968338903e-05,657923191,23958
Larimichthys crocea,JRPU02000067.1,1684750,70,4.15491912746698e-05,657923191,23958
Larimichthys crocea,JRPU02000039.1,1606198,84,5.22974128967911e-05,657923191,23958
Larimichthys crocea,JRPU02000121.1,1355457,43,3.17236179384518e-05,657923191,23958
Larimichthys crocea,JRPU02000038.1,1167935,30,2.56863609704307e-05,657923191,23958
Larimichthys crocea,JRPU02000041.1,946258,5,5.2839711791076e-06,657923191,23958
Larimichthys crocea,JRPU02000120.1,873794,27,3.08997315156662e-05,657923191,23958
Larimichthys crocea,JRPU02000154.1,872931,19,2.17657523905097e-05,657923191,23958
Larimichthys crocea,JRPU02000030.1,847758,56,6.6056586903338e-05,657923191,23958
Larimichthys crocea,JRPU02000047.1,829057,57,6.87528119296984e-05,657923191,23958
Larimichthys crocea,JRPU02000068.1,709391,6,8.45795900991132e-06,657923191,23958
Larimichthys crocea,JRPU02000097.1,702396,30,4.27109493789828e-05,657923191,23958
Larimichthys crocea,JRPU02000095.1,643029,36,5.59850333344219e-05,657923191,23958
Larimichthys crocea,JRPU02000325.1,642973,42,6.53215609364623e-05,657923191,23958
Larimichthys crocea,JRPU02000123.1,606143,39,6.43412528066809e-05,657923191,23958
Larimichthys crocea,JRPU02000215.1,514783,16,3.10810574552773e-05,657923191,23958
Larimichthys crocea,JRPU02000326.1,470887,12,2.54838209591686e-05,657923191,23958
Larimichthys crocea,JRPU02000106.1,455158,22,4.8334863937358e-05,657923191,23958
Larimichthys crocea,JRPU02000133.1,427570,45,0.000105245924643918,657923191,23958
Larimichthys crocea,JRPU02000065.1,421627,16,3.79482338654783e-05,657923191,23958
Larimichthys crocea,JRPU02000057.1,420553,13,3.09116805729599e-05,657923191,23958
Larimichthys crocea,JRPU02000086.1,399120,17,4.25937061535378e-05,657923191,23958
Larimichthys crocea,JRPU02000397.1,398189,8,2.00909618296839e-05,657923191,23958
Larimichthys crocea,JRPU02000110.1,385120,7,1.81761528874117e-05,657923191,23958
