species,class,order,family,chromnum.1n,chromnum.est,chromnum.source,chromnum.database,est.gnsz.Mbp,est.gnsz.source,est.gnsz.db
Acanthochromis polyacanthus,Actinopterygii,Perciformes,Pomacentridae,NA,24,"Arai, R. (2011). Fish karyotypes: a check list. Springer Science & Business Media.","Rom�n?Palacios, C., Medina, C. A., Zhan, S. H., & Barker, M. S. (2021). Animal chromosome counts reveal a similar range of chromosome numbers but with less polyploidy in animals compared to flowering plants. Journal of Evolutionary Biology, 34(8), 1333�1339. https://doi.org/10.1111/jeb.13884",NA,,
Accipiter nisus,Aves,Accipitriformes,Accipitridae,33,NA,"Venturini, G., R. D'Ambrogi, and E. Capanna (1986). Size and structure of the bird genome. I. DNA content of 48 species of Neognathae.. Comparative Biochemistry and Physiology 85B: 61-65.",,NA,,
Ailuropoda melanoleuca,Mammalia,Carnivora,Ursidae,21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9",,2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9",
Amazona collaria,Aves,Psittaciformes,Psittacidae,35,NA,"de Oliveira Furo, I., Kretschmer, R., dos Santos, M. S., de Lima Carvalho, C. A., Gunski, R. J., O�Brien, P. C. M., Ferguson-Smith, M. A., Cioffi, M. B., & de Oliveira, E. H. C. (2017). Chromosomal Mapping of Repetitive DNAs in Myiopsitta monachus and Amazona aestiva (Psittaciformes, Psittacidae) with Emphasis on the Sex Chromosomes. Cytogenetic and Genome Research, 151(3), 151�160. https://doi.org/10.1159/000464458",,1496.34,"Andrews, C.B. and T.R. Gregory (2009). Genome size is inversely correlated with relative brain size in parrots and cockatoos. Genome 52: 261-267.",
Amphilophus citrinellus,Actinopterygii,Perciformes,Cichlidae,24,NA,"Thompson, K. W. (1979). Cytotaxonomy of 41 Species of Neotropical Cichlidae. Copeia, 1979(4), 679. https://doi.org/10.2307/1443877",,NA,,
Amphiprion ocellaris,Actinopterygii,NA,Pomacentridae,24,NA,"Arai R. (2011) Fish Karyotypes, Springer.",,805.385376,"Ryu, T., Herrera, M., Moore, B., Izumiyama, M., Kawai, E., Laudet, V., & Ravasi, T. (2022). A chromosome-scale genome assembly of the false clownfish, Amphiprion ocellaris. G3 Genes|Genomes|Genetics, 12(5). https://doi.org/10.1093/g3journal/jkac074",
Amphiprion percula,Actinopterygii,NA,Pomacentridae,24,NA,"Arai R. (2011) Fish Karyotypes, Springer.Lehmann, R., Lightfoot, D. J., Schunter, C., Michell, C. T., Ohyanagi, H., Mineta, K., Foret, S., Berumen, M. L., Miller, D. J., Aranda, M., Gojobori, T., Munday, P. L., & Ravasi, T. (2019). Finding Nemo’s Genes: A chromosome-scale reference assembly of the genome of the orange clownfish Amphiprion percula. Molecular Ecology Resources, 19(3), 570–585. https://doi.org/10.1111/1755-0998.12939",,938.88,"Hardie, D.C. and P.D.N. Hebert (2004). Genome-size evolution in fishes. Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Anabas testudineus,Actinopterygii,Anabantiformes,Anabantidae,23,NA,"Kushwaha, B., N. S. Nagpure, S. Srivastava, M. Pandey, R. Kumar, S. Raizada, S. Agarwal, M. Singh, V. S. Basheer, R. G. Kumar, P. Das, S. P. Das, S. Patnaik, A. Bit, S. K. Srivastava, A. L. Vishwakarma, C. G. Joshi, D. Kumar, and J. K. Jena (2023). Genome size estimation and its associations with body length, chromosome number and evolution in teleost fishes. Gene 864: 147294.",,704.16,"Kushwaha, B., N. S. Nagpure, S. Srivastava, M. Pandey, R. Kumar, S. Raizada, S. Agarwal, M. Singh, V. S. Basheer, R. G. Kumar, P. Das, S. P. Das, S. Patnaik, A. Bit, S. K. Srivastava, A. L. Vishwakarma, C. G. Joshi, D. Kumar, and J. K. Jena (2023). Genome size estimation and its associations with body length, chromosome number and evolution in teleost fishes. Gene 864: 147294.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Anas platyrhynchos,Aves,Anseriformes,Anatidae,40,NA,"W�jcik, E., & Smalec, E. (2007). Description of the Mallard Duck (Anas platyrhynchos) Karyotype. Folia Biologica, 55(3), 115�120. https://doi.org/10.3409/173491607781492588",,1457.22,"Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Anas zonorhyncha,Aves,Anseriformes,Anatidae,40,NA,"Abu-Almaaty, A., Hassan, M., El-Bakary, N., & Ahmed, S. (2019). Chromosomal evolution and molecular genetic analysis of four species of genus Anas (Aves: Anatidae). Genetika, 51(1), 103�119. https://doi.org/10.2298/gensr1901103a",,NA,NA,NA
