"species","name","size.Mbp","genecount","genedens","asmblysize.Mbp"
"Homo sapiens","1",248.956422,5681,22.819254688678,3099.734149
"Homo sapiens","2",242.193529,4352,17.9691010654541,3099.734149
"Homo sapiens","3",198.295559,3337,16.8284152041953,3099.734149
"Homo sapiens","4",190.214555,2758,14.4994161987236,3099.734149
"Homo sapiens","5",181.538259,3082,16.9771375850861,3099.734149
"Homo sapiens","6",170.805979,3214,18.8166715171019,3099.734149
"Homo sapiens","7",159.345973,3165,19.8624410797002,3099.734149
"Homo sapiens","X",156.040895,2496,15.9958067402779,3099.734149
"Homo sapiens","8",145.138636,2559,17.6314182806569,3099.734149
"Homo sapiens","9",138.394717,2433,17.5801508376942,3099.734149
"Homo sapiens","11",135.086622,3496,25.8796907365113,3099.734149
"Homo sapiens","10",133.797422,2445,18.2738946943238,3099.734149
"Homo sapiens","12",133.275309,3173,23.8078607643671,3099.734149
"Homo sapiens","13",114.364328,1454,12.7137545896304,3099.734149
"Homo sapiens","14",107.043718,2355,22.0003569009066,3099.734149
"Homo sapiens","15",101.991189,2331,22.8549154378424,3099.734149
"Homo sapiens","16",90.338345,2688,29.7548067766794,3099.734149
"Homo sapiens","17",83.257441,3180,38.1947842956163,3099.734149
"Homo sapiens","18",80.373285,1280,15.9256897363347,3099.734149
"Homo sapiens","20",64.444167,1510,23.4311353578362,3099.734149
"Homo sapiens","19",58.617616,3102,52.9192452999112,3099.734149
"Homo sapiens","Y",57.227415,603,10.5369078788549,3099.734149
"Homo sapiens","22",50.818468,1454,28.6116456718058,3099.734149
"Homo sapiens","21",46.709983,900,19.2678297485144,3099.734149
"Homo sapiens","KI270728.1",1.872759,6,3.20382921667978,3099.734149
"Homo sapiens","KI270727.1",0.448248,7,15.6163552319252,3099.734149
"Homo sapiens","KI270442.1",0.392061,2,5.10124699982911,3099.734149
"Homo sapiens","GL000225.1",0.211173,1,4.73545386957613,3099.734149
"Homo sapiens","GL000009.2",0.201709,1,4.95763699190418,3099.734149
"Homo sapiens","GL000194.1",0.191469,2,10.4455551551426,3099.734149
"Homo sapiens","GL000205.2",0.185591,1,5.38819231536012,3099.734149
"Homo sapiens","GL000195.1",0.182896,2,10.9351762750416,3099.734149
"Homo sapiens","KI270733.1",0.179772,4,22.2504060699108,3099.734149
"Homo sapiens","GL000219.1",0.179198,1,5.58041942432393,3099.734149
"Homo sapiens","GL000216.2",0.176608,1,5.66225765537235,3099.734149
