"species","contigName","contigSize.bp","contigGeneCount","contigGeneDens.genesPerBp","asmblySize.bp","asmblyGeneCount"
"Bison bison bison","KN265167.1",43721425,274,6.2669503567187e-06,2953606000,25509
"Bison bison bison","KN265153.1",31240356,262,8.38658816820141e-06,2953606000,25509
"Bison bison bison","KN265185.1",25235462,114,4.51745246431391e-06,2953606000,25509
"Bison bison bison","KN265204.1",23230431,219,9.42728957547107e-06,2953606000,25509
"Bison bison bison","KN265004.1",22619279,297,1.31303919987901e-05,2953606000,25509
"Bison bison bison","KN265169.1",21467410,159,7.40657582819725e-06,2953606000,25509
"Bison bison bison","KN265214.1",21386886,70,3.27303376470983e-06,2953606000,25509
"Bison bison bison","KN264750.1",20752209,107,5.15607760118453e-06,2953606000,25509
"Bison bison bison","KN265158.1",20239142,127,6.27496956145671e-06,2953606000,25509
"Bison bison bison","KN265203.1",20155498,196,9.72439381056226e-06,2953606000,25509
"Bison bison bison","KN265197.1",19272227,205,1.06370685650392e-05,2953606000,25509
"Bison bison bison","KN265099.1",17727126,112,6.31800101155709e-06,2953606000,25509
"Bison bison bison","KN265019.1",17028446,213,1.25084813963646e-05,2953606000,25509
"Bison bison bison","KN265086.1",16787055,319,1.90027375260282e-05,2953606000,25509
"Bison bison bison","KN264778.1",16403806,230,1.40211363143407e-05,2953606000,25509
"Bison bison bison","KN264895.1",16093809,456,2.83338767099821e-05,2953606000,25509
"Bison bison bison","KN265085.1",15775556,77,4.88096901307314e-06,2953606000,25509
"Bison bison bison","KN264896.1",15707557,134,8.53092559205738e-06,2953606000,25509
"Bison bison bison","KN265091.1",15627168,66,4.22341399286166e-06,2953606000,25509
"Bison bison bison","KN265162.1",15442955,107,6.92872575229287e-06,2953606000,25509
"Bison bison bison","KN265210.1",15249784,98,6.42632053017931e-06,2953606000,25509
"Bison bison bison","KN265168.1",15236017,314,2.06090607538703e-05,2953606000,25509
"Bison bison bison","KN265045.1",14943199,43,2.8775632312733e-06,2953606000,25509
"Bison bison bison","KN265188.1",14278756,229,1.60378116973215e-05,2953606000,25509
"Bison bison bison","KN265212.1",14196096,120,8.45302821282697e-06,2953606000,25509
"Bison bison bison","KN265215.1",14162962,53,3.74215506615071e-06,2953606000,25509
"Bison bison bison","KN264783.1",14129091,154,1.0899498063959e-05,2953606000,25509
"Bison bison bison","KN264787.1",13895325,228,1.64083963491318e-05,2953606000,25509
"Bison bison bison","KN265006.1",13709248,192,1.40051445564337e-05,2953606000,25509
"Bison bison bison","KN264878.1",13647482,89,6.52134950608471e-06,2953606000,25509
"Bison bison bison","KN264752.1",13631778,138,1.01234042983975e-05,2953606000,25509
"Bison bison bison","KN265208.1",13610408,70,5.14312282188749e-06,2953606000,25509
"Bison bison bison","KN264820.1",13429079,80,5.95722163820765e-06,2953606000,25509
"Bison bison bison","KN264823.1",13173330,92,6.98380743517395e-06,2953606000,25509
"Bison bison bison","KN265183.1",13171286,45,3.4165228816685e-06,2953606000,25509
"Bison bison bison","KN265213.1",12987151,80,6.15993453837566e-06,2953606000,25509
"Bison bison bison","KN264851.1",12880150,31,2.40680426858383e-06,2953606000,25509
"Bison bison bison","KN264861.1",12769020,56,4.38561455773427e-06,2953606000,25509
"Bison bison bison","KN265010.1",12721753,119,9.3540567876141e-06,2953606000,25509
"Bison bison bison","KN265094.1",12650643,121,9.5647312156386e-06,2953606000,25509
"Bison bison bison","KN265186.1",12557060,320,2.54836721334453e-05,2953606000,25509
"Bison bison bison","KN264978.1",12497125,77,6.16141712593897e-06,2953606000,25509
"Bison bison bison","KN264930.1",12485899,97,7.7687637870529e-06,2953606000,25509
"Bison bison bison","KN264854.1",12295874,51,4.14773280858278e-06,2953606000,25509
"Bison bison bison","KN264928.1",12209122,207,1.69545361247107e-05,2953606000,25509
"Bison bison bison","KN265039.1",12195748,107,8.77354960105768e-06,2953606000,25509
"Bison bison bison","KN265088.1",12143134,78,6.42338295863325e-06,2953606000,25509
"Bison bison bison","KN265046.1",12085300,83,6.86784771582005e-06,2953606000,25509
"Bison bison bison","KN265040.1",11958654,36,3.01037223754446e-06,2953606000,25509
"Bison bison bison","KN265190.1",11888911,74,6.22428748940925e-06,2953606000,25509
"Bison bison bison","KN265022.1",11796121,61,5.17119144505215e-06,2953606000,25509
"Bison bison bison","KN265149.1",11724368,68,5.79988618576285e-06,2953606000,25509
"Bison bison bison","KN264985.1",11619399,143,1.23070048631603e-05,2953606000,25509
"Bison bison bison","KN264969.1",11596465,94,8.10591848464166e-06,2953606000,25509
"Bison bison bison","KN265201.1",11580742,215,1.85653043647808e-05,2953606000,25509
"Bison bison bison","KN264975.1",11418578,89,7.79431554436989e-06,2953606000,25509
"Bison bison bison","KN264860.1",11411349,121,1.06034790452908e-05,2953606000,25509
"Bison bison bison","KN265160.1",11390822,45,3.95054895950442e-06,2953606000,25509
"Bison bison bison","KN265182.1",11366342,149,1.31088788283865e-05,2953606000,25509
"Bison bison bison","KN265184.1",11332318,46,4.05918718482838e-06,2953606000,25509
