"species","name","size.Mb","genecount","genedens","asmblysize.Mb"
"Oreochromis aureus","3",134.388234,4159,30.9476497771375,1005.558595
"Oreochromis aureus","7",66.620846,2398,35.9947395444363,1005.558595
"Oreochromis aureus","23",46.429046,1644,35.4088688361161,1005.558595
"Oreochromis aureus","6",43.189839,1542,35.7028420504184,1005.558595
"Oreochromis aureus","5",42.508297,1434,33.7345906847315,1005.558595
"Oreochromis aureus","1",42.306174,1202,28.4119287175437,1005.558595
"Oreochromis aureus","14",42.151558,1431,33.9489230742076,1005.558595
"Oreochromis aureus","22",41.865039,1494,35.6861007582007,1005.558595
"Oreochromis aureus","15",41.599371,1348,32.4043361136398,1005.558595
"Oreochromis aureus","9",40.723988,1217,29.884106635136,1005.558595
"Oreochromis aureus","17",39.943299,1121,28.0647825308571,1005.558595
"Oreochromis aureus","12",39.85109,1379,34.6038213760276,1005.558595
"Oreochromis aureus","11",39.343237,1501,38.1514108765377,1005.558595
"Oreochromis aureus","20",38.218816,1401,36.6573365328743,1005.558595
"Oreochromis aureus","18",37.552967,1551,41.3016633279602,1005.558595
"Oreochromis aureus","4",37.304823,1714,45.9458016996891,1005.558595
"Oreochromis aureus","2",37.259197,1142,30.6501506191881,1005.558595
"Oreochromis aureus","16",36.267751,1215,33.5008365972293,1005.558595
"Oreochromis aureus","10",35.972536,1224,34.0259580253113,1005.558595
"Oreochromis aureus","13",35.907459,1048,29.1861365071809,1005.558595
"Oreochromis aureus","19",32.007781,1259,39.3341856469213,1005.558595
"Oreochromis aureus","8",31.565216,1118,35.4187343435255,1005.558595
"Oreochromis aureus","JAAMTF010000302.1",1.179125,14,11.8732110675289,1005.558595
"Oreochromis aureus","JAAMTF010000029.1",0.851361,17,19.9680276639404,1005.558595
"Oreochromis aureus","JAAMTF010000286.1",0.398909,2,5.01367479801158,1005.558595
"Oreochromis aureus","JAAMTF010000051.1",0.365613,16,43.7621200559061,1005.558595
"Oreochromis aureus","JAAMTF010000060.1",0.357233,7,19.5950542083178,1005.558595
"Oreochromis aureus","JAAMTF010000021.1",0.352539,6,17.0193935990061,1005.558595
"Oreochromis aureus","JAAMTF010000087.1",0.350758,11,31.3606532138968,1005.558595
"Oreochromis aureus","JAAMTF010000271.1",0.339531,1,2.94523916814665,1005.558595
"Oreochromis aureus","JAAMTF010000022.1",0.331742,12,36.1726884144908,1005.558595
"Oreochromis aureus","JAAMTF010000056.1",0.32206,179,555.797056449109,1005.558595
"Oreochromis aureus","JAAMTF010000057.1",0.311112,10,32.1427653063848,1005.558595
"Oreochromis aureus","JAAMTF010000267.1",0.2793,1,3.58037952022914,1005.558595
"Oreochromis aureus","JAAMTF010000269.1",0.253607,4,15.7724353034419,1005.558595
"Oreochromis aureus","JAAMTF010000263.1",0.252451,1,3.96116474088041,1005.558595
"Oreochromis aureus","JAAMTF010000299.1",0.237983,10,42.019808137556,1005.558595
"Oreochromis aureus","JAAMTF010000098.1",0.235375,13,55.231014338821,1005.558595
"Oreochromis aureus","JAAMTF010000042.1",0.233023,4,17.1656875072418,1005.558595
