"species","name","size.Mbp","genecount","genedens","asmblysize.Mbp"
"Podarcis muralis","1",140.209921,1956,13.9505106774862,1511.002858
"Podarcis muralis","2",128.038163,2475,19.3301742387541,1511.002858
"Podarcis muralis","3",124.954059,1622,12.9807707967294,1511.002858
"Podarcis muralis","4",107.526675,1384,12.8712247449296,1511.002858
"Podarcis muralis","5",100.393251,1397,13.9152780299943,1511.002858
"Podarcis muralis","6",99.67844,1558,15.6302606661982,1511.002858
"Podarcis muralis","7",92.398148,1156,12.5110732738929,1511.002858
"Podarcis muralis","8",90.342841,1844,20.4111358419645,1511.002858
"Podarcis muralis","9",79.135106,949,11.9921492238855,1511.002858
"Podarcis muralis","10",76.280819,1089,14.27619700832,1511.002858
"Podarcis muralis","11",65.231656,737,11.2981954650975,1511.002858
"Podarcis muralis","12",60.949594,847,13.896729156227,1511.002858
"Podarcis muralis","13",56.546671,1703,30.1167154473161,1511.002858
"Podarcis muralis","14",54.988359,914,16.6216998765139,1511.002858
"Podarcis muralis","Z",50.871175,748,14.7038081978645,1511.002858
"Podarcis muralis","15",46.441056,799,17.2046044775554,1511.002858
"Podarcis muralis","16",43.659005,1040,23.8209734738572,1511.002858
"Podarcis muralis","17",42.925489,762,17.7516906097447,1511.002858
"Podarcis muralis","18",14.237138,409,28.7276838926475,1511.002858
"Podarcis muralis","SIRZ01000020.1",0.321289,10,31.1246261154288,1511.002858
"Podarcis muralis","SIRZ01000021.1",0.289227,10,34.5749186625039,1511.002858
"Podarcis muralis","SIRZ01000022.1",0.195856,6,30.63475206274,1511.002858
"Podarcis muralis","SIRZ01000023.1",0.193279,6,31.0432069702347,1511.002858
"Podarcis muralis","SIRZ01000024.1",0.174418,9,51.6001788806201,1511.002858
"Podarcis muralis","SIRZ01000025.1",0.153536,7,45.5919132972072,1511.002858
"Podarcis muralis","SIRZ01000027.1",0.103862,6,57.7689626619938,1511.002858
"Podarcis muralis","SIRZ01000028.1",0.10134,1,9.86777185711466,1511.002858
"Podarcis muralis","SIRZ01000029.1",0.092609,1,10.7980865790582,1511.002858
"Podarcis muralis","SIRZ01000030.1",0.0882,2,22.6757369614512,1511.002858
"Podarcis muralis","SIRZ01000031.1",0.086447,3,34.7033442456071,1511.002858
"Podarcis muralis","SIRZ01000032.1",0.08613,3,34.8310693138279,1511.002858
"Podarcis muralis","SIRZ01000034.1",0.073708,1,13.5670483529603,1511.002858
"Podarcis muralis","SIRZ01000036.1",0.072382,1,13.8155895112044,1511.002858
"Podarcis muralis","SIRZ01000037.1",0.068292,1,14.6430035728929,1511.002858
"Podarcis muralis","SIRZ01000038.1",0.066471,2,30.0883091874652,1511.002858
