"species","name","size.Mbp","genecount","genedens","asmblysize.Mbp"
"Cebus imitator","KV389426.1",21.314971,403,18.9068988177371,2717.703182
"Cebus imitator","KV389444.1",20.362211,326,16.0100492033994,2717.703182
"Cebus imitator","KV389468.1",19.467048,191,9.81145163868708,2717.703182
"Cebus imitator","KV389427.1",18.007423,149,8.27436552137416,2717.703182
"Cebus imitator","KV389471.1",17.373732,163,9.38197964605417,2717.703182
"Cebus imitator","KV389453.1",17.023488,78,4.58190471893892,2717.703182
"Cebus imitator","KV389428.1",16.812482,135,8.029748373857,2717.703182
"Cebus imitator","KV389430.1",16.187737,114,7.04236793567872,2717.703182
"Cebus imitator","KV389431.1",15.684572,116,7.39580270344642,2717.703182
"Cebus imitator","KV389429.1",15.321207,111,7.24486001657702,2717.703182
"Cebus imitator","KV389450.1",15.232693,275,18.0532752810025,2717.703182
"Cebus imitator","KV389432.1",14.640447,91,6.21565721319848,2717.703182
"Cebus imitator","KV389433.1",14.377064,53,3.68642721490285,2717.703182
"Cebus imitator","KV389465.1",13.733173,134,9.75739546862185,2717.703182
"Cebus imitator","KV389502.1",13.607169,158,11.6115262476714,2717.703182
"Cebus imitator","KV389438.1",13.416947,109,8.12405385517286,2717.703182
"Cebus imitator","KV389518.1",13.160294,99,7.52262829386638,2717.703182
"Cebus imitator","KV389434.1",13.051293,157,12.0294594566224,2717.703182
"Cebus imitator","KV389435.1",13.03334,146,11.2020403058617,2717.703182
"Cebus imitator","KV389486.1",12.915033,83,6.42661927383383,2717.703182
"Cebus imitator","KV389436.1",12.831769,78,6.07866304326395,2717.703182
"Cebus imitator","KV389437.1",12.761818,90,7.05228675099426,2717.703182
"Cebus imitator","KV389487.1",12.728985,95,7.46328163635985,2717.703182
"Cebus imitator","KV389439.1",12.630379,84,6.65063178230835,2717.703182
"Cebus imitator","KV389440.1",12.290832,73,5.93938636538194,2717.703182
"Cebus imitator","KV389441.1",12.278712,193,15.7182610032714,2717.703182
"Cebus imitator","KV389442.1",12.262279,76,6.19786909105559,2717.703182
"Cebus imitator","KV389455.1",12.2617,46,3.75151895740395,2717.703182
"Cebus imitator","KV389443.1",12.057665,89,7.38119693987186,2717.703182
"Cebus imitator","KV389449.1",11.995487,129,10.7540444168711,2717.703182
"Cebus imitator","KV389477.1",11.953741,136,11.3771914583058,2717.703182
"Cebus imitator","KV389494.1",11.786368,74,6.27843963466948,2717.703182
"Cebus imitator","KV389445.1",11.725426,92,7.84619680342531,2717.703182
"Cebus imitator","KV389446.1",11.686629,105,8.9846267901548,2717.703182
"Cebus imitator","KV389447.1",11.589503,94,8.1107878396511,2717.703182
"Cebus imitator","KV389448.1",11.579523,76,6.56331007762582,2717.703182
"Cebus imitator","KV389454.1",11.376298,157,13.8006230146222,2717.703182
"Cebus imitator","KV389464.1",11.376263,190,16.7014422926052,2717.703182
"Cebus imitator","KV389451.1",11.255447,93,8.26266606737165,2717.703182
"Cebus imitator","KV389452.1",10.916617,60,5.49620821175644,2717.703182
"Cebus imitator","KV389462.1",10.690711,181,16.9305858141708,2717.703182
"Cebus imitator","KV389456.1",10.624534,104,9.78866461343152,2717.703182
"Cebus imitator","KV389457.1",10.58041,95,8.97885809718149,2717.703182
"Cebus imitator","KV389458.1",10.570976,128,12.1086264882259,2717.703182
"Cebus imitator","KV389459.1",10.557659,81,7.67215535186352,2717.703182
"Cebus imitator","KV389460.1",10.415718,65,6.24056834103996,2717.703182
"Cebus imitator","KV389461.1",10.36787,27,2.60419931962882,2717.703182
"Cebus imitator","KV389543.1",10.303814,137,13.2960474635897,2717.703182
"Cebus imitator","KV389463.1",10.264441,71,6.91708394056725,2717.703182
"Cebus imitator","KV389508.1",10.167762,228,22.423813617982,2717.703182
"Cebus imitator","KV389511.1",10.048455,136,13.534418972867,2717.703182
"Cebus imitator","KV389466.1",9.995516,64,6.40287104737764,2717.703182
"Cebus imitator","KV389467.1",9.984364,102,10.2159736964718,2717.703182
"Cebus imitator","KV389479.1",9.895066,144,14.5527073796173,2717.703182
