"species","name","size.Mb","genecount","genedens","asmblysize.Mb"
"Rhinopithecus roxellana","KN296311.1",9.848887,137,13.9102012237525,2899.53559
"Rhinopithecus roxellana","KN299482.1",9.259753,202,21.8148367456454,2899.53559
"Rhinopithecus roxellana","KN300162.1",8.92286,65,7.28465985121362,2899.53559
"Rhinopithecus roxellana","KN299057.1",7.970165,195,24.466243797964,2899.53559
"Rhinopithecus roxellana","KN298804.1",7.874669,52,6.60345215779863,2899.53559
"Rhinopithecus roxellana","KN295893.1",7.760291,115,14.8190319151692,2899.53559
"Rhinopithecus roxellana","KN298724.1",7.700815,81,10.5183672117821,2899.53559
"Rhinopithecus roxellana","KN294790.1",7.694058,59,7.66825516521971,2899.53559
"Rhinopithecus roxellana","KN299104.1",7.46817,135,18.0767175894496,2899.53559
"Rhinopithecus roxellana","KN297190.1",7.153799,53,7.4086509839038,2899.53559
"Rhinopithecus roxellana","KN294172.1",7.123385,119,16.7055409752526,2899.53559
"Rhinopithecus roxellana","KN297008.1",6.916312,164,23.7120592593278,2899.53559
"Rhinopithecus roxellana","KN299711.1",6.889846,73,10.5953021301202,2899.53559
"Rhinopithecus roxellana","KN297112.1",6.872927,49,7.12942244257796,2899.53559
"Rhinopithecus roxellana","KN298527.1",6.804151,98,14.4029725383814,2899.53559
"Rhinopithecus roxellana","KN299263.1",6.67939,99,14.8217127611953,2899.53559
"Rhinopithecus roxellana","KN296119.1",6.46659,126,19.4847670874449,2899.53559
"Rhinopithecus roxellana","KN295236.1",6.217487,183,29.4331134106111,2899.53559
"Rhinopithecus roxellana","KN299668.1",6.04161,104,17.2139545584703,2899.53559
"Rhinopithecus roxellana","KN298155.1",5.845335,94,16.0811997943659,2899.53559
"Rhinopithecus roxellana","KN295586.1",5.804774,61,10.5085917212281,2899.53559
"Rhinopithecus roxellana","KN298755.1",5.631541,108,19.1776993188898,2899.53559
"Rhinopithecus roxellana","KN296635.1",5.607563,51,9.09485992399907,2899.53559
"Rhinopithecus roxellana","KN299689.1",5.473716,28,5.11535490697727,2899.53559
"Rhinopithecus roxellana","KN299213.1",5.465263,112,20.4930668478351,2899.53559
"Rhinopithecus roxellana","KN296682.1",5.438161,43,7.90708476633921,2899.53559
"Rhinopithecus roxellana","KN299774.1",5.399761,104,19.2601116975362,2899.53559
"Rhinopithecus roxellana","KN294911.1",5.046767,80,15.8517324061127,2899.53559
"Rhinopithecus roxellana","KN297845.1",5.028527,47,9.34667348907543,2899.53559
"Rhinopithecus roxellana","KN298889.1",4.860793,26,5.3489214619919,2899.53559
"Rhinopithecus roxellana","KN296157.1",4.79688,39,8.13028468504528,2899.53559
"Rhinopithecus roxellana","KN295607.1",4.786336,20,4.17856163879845,2899.53559
"Rhinopithecus roxellana","KN297197.1",4.768883,58,12.1621771806941,2899.53559
"Rhinopithecus roxellana","KN297530.1",4.753607,16,3.36586512094921,2899.53559
"Rhinopithecus roxellana","KN295096.1",4.72342,44,9.31528426436777,2899.53559
"Rhinopithecus roxellana","KN294978.1",4.721345,18,3.81247292879465,2899.53559
"Rhinopithecus roxellana","KN297047.1",4.700242,11,2.34030503110265,2899.53559
"Rhinopithecus roxellana","KN299389.1",4.536473,19,4.18827578164799,2899.53559
"Rhinopithecus roxellana","KN294501.1",4.520785,24,5.30881251817992,2899.53559
"Rhinopithecus roxellana","KN294387.1",4.506705,20,4.43783207465321,2899.53559
"Rhinopithecus roxellana","KN294539.1",4.487616,49,10.9189378057303,2899.53559
"Rhinopithecus roxellana","KN294251.1",4.421433,41,9.27301171362316,2899.53559
"Rhinopithecus roxellana","KN297991.1",4.420559,84,19.0021216773716,2899.53559
"Rhinopithecus roxellana","KN298066.1",4.420341,39,8.82284873497316,2899.53559
