"species","name","size.Mbp","genecount","genedens","asmblysize.Mbp"
"Xenopus tropicalis","1",217.471166,3236,14.8801335805594,1451.283599
"Xenopus tropicalis","2",181.034961,3177,17.5490964974439,1451.283599
"Xenopus tropicalis","5",164.033575,2340,14.2653721959056,1451.283599
"Xenopus tropicalis","6",154.486312,2113,13.677587176785,1451.283599
"Xenopus tropicalis","4",153.961319,2553,16.5820870890305,1451.283599
"Xenopus tropicalis","3",153.873357,2910,18.9116560315247,1451.283599
"Xenopus tropicalis","8",147.24151,2928,19.8856966354121,1451.283599
"Xenopus tropicalis","7",133.56593,2285,17.1076561215873,1451.283599
"Xenopus tropicalis","9",91.218944,1766,19.3600136392721,1451.283599
"Xenopus tropicalis","10",52.432566,1219,23.2489098473647,1451.283599
"Xenopus tropicalis","AAMC04000011.1",0.082299,3,36.4524477818686,1451.283599
"Xenopus tropicalis","AAMC04000012.1",0.079987,3,37.5060947403953,1451.283599
"Xenopus tropicalis","AAMC04000014.1",0.061141,2,32.7112739405636,1451.283599
"Xenopus tropicalis","AAMC04000017.1",0.057626,1,17.3532780342207,1451.283599
