"species","name","size.Mbp","genecount","genedens","asmblysize.Mbp"
"Acanthochromis polyacanthus","MVNR01000001.1",2.466117,56,22.7077628514787,991.584656
"Acanthochromis polyacanthus","MVNR01000014.1",2.425186,65,26.8020679650963,991.584656
"Acanthochromis polyacanthus","MVNR01000009.1",2.39689,51,21.2775721872927,991.584656
"Acanthochromis polyacanthus","MVNR01000008.1",2.368326,75,31.6679376065626,991.584656
"Acanthochromis polyacanthus","MVNR01000002.1",2.338421,39,16.6779206994805,991.584656
"Acanthochromis polyacanthus","MVNR01000003.1",2.213793,56,25.295951337817,991.584656
"Acanthochromis polyacanthus","MVNR01000006.1",2.094391,54,25.7831512835951,991.584656
"Acanthochromis polyacanthus","MVNR01000036.1",2.092499,57,27.2401563871715,991.584656
"Acanthochromis polyacanthus","MVNR01000004.1",2.013838,42,20.8556994157425,991.584656
"Acanthochromis polyacanthus","MVNR01000005.1",1.950346,45,23.0728291287802,991.584656
"Acanthochromis polyacanthus","MVNR01000057.1",1.771567,33,18.6275766030864,991.584656
"Acanthochromis polyacanthus","MVNR01000038.1",1.73874,50,28.7564558243326,991.584656
"Acanthochromis polyacanthus","MVNR01000007.1",1.729193,91,52.6257045916795,991.584656
"Acanthochromis polyacanthus","MVNR01000010.1",1.656807,44,26.557106530815,991.584656
"Acanthochromis polyacanthus","MVNR01000011.1",1.655897,34,20.5326780590822,991.584656
"Acanthochromis polyacanthus","MVNR01000012.1",1.625962,70,43.0514366264402,991.584656
"Acanthochromis polyacanthus","MVNR01000013.1",1.604512,53,33.0318501824854,991.584656
"Acanthochromis polyacanthus","MVNR01000015.1",1.538358,87,56.5538060711486,991.584656
"Acanthochromis polyacanthus","MVNR01000102.1",1.527505,43,28.1504806858243,991.584656
"Acanthochromis polyacanthus","MVNR01000029.1",1.478258,50,33.8235950693316,991.584656
"Acanthochromis polyacanthus","MVNR01000016.1",1.473421,54,36.6494029880123,991.584656
"Acanthochromis polyacanthus","MVNR01000017.1",1.449072,53,36.5751322225535,991.584656
"Acanthochromis polyacanthus","MVNR01000018.1",1.446198,50,34.5734124926186,991.584656
"Acanthochromis polyacanthus","MVNR01000019.1",1.439524,50,34.7337036409258,991.584656
"Acanthochromis polyacanthus","MVNR01000088.1",1.438594,70,48.6586208478556,991.584656
"Acanthochromis polyacanthus","MVNR01000035.1",1.407686,87,61.8035556224897,991.584656
"Acanthochromis polyacanthus","MVNR01000020.1",1.406558,52,36.9696805961788,991.584656
"Acanthochromis polyacanthus","MVNR01000021.1",1.380417,36,26.0790761052638,991.584656
"Acanthochromis polyacanthus","MVNR01000022.1",1.379187,30,21.7519451676966,991.584656
"Acanthochromis polyacanthus","MVNR01000023.1",1.369605,62,45.2685263269337,991.584656
"Acanthochromis polyacanthus","MVNR01000079.1",1.364387,28,20.522036636233,991.584656
"Acanthochromis polyacanthus","MVNR01000024.1",1.35766,25,18.4140359147356,991.584656
"Acanthochromis polyacanthus","MVNR01000025.1",1.346746,28,20.7908544001616,991.584656
"Acanthochromis polyacanthus","MVNR01000026.1",1.328352,34,25.5956252559563,991.584656
"Acanthochromis polyacanthus","MVNR01000027.1",1.313791,82,62.414798091934,991.584656
"Acanthochromis polyacanthus","MVNR01000028.1",1.302082,36,27.648028311581,991.584656
"Acanthochromis polyacanthus","MVNR01000030.1",1.294408,30,23.1766181914821,991.584656
"Acanthochromis polyacanthus","MVNR01000061.1",1.27389,23,18.0549340994905,991.584656
"Acanthochromis polyacanthus","MVNR01000031.1",1.272593,25,19.6449296829387,991.584656
"Acanthochromis polyacanthus","MVNR01000081.1",1.271148,31,24.3874041417679,991.584656
"Acanthochromis polyacanthus","MVNR01000032.1",1.269055,26,20.4876857189011,991.584656
"Acanthochromis polyacanthus","MVNR01000213.1",1.268823,22,17.3389038502612,991.584656
"Acanthochromis polyacanthus","MVNR01000033.1",1.245739,26,20.8711455609883,991.584656
"Acanthochromis polyacanthus","MVNR01000034.1",1.244597,32,25.7111338047577,991.584656
"Acanthochromis polyacanthus","MVNR01000068.1",1.218019,28,22.9881471471299,991.584656
"Acanthochromis polyacanthus","MVNR01000037.1",1.208609,19,15.7205514769458,991.584656
"Acanthochromis polyacanthus","MVNR01000133.1",1.203319,39,32.4103583505288,991.584656
"Acanthochromis polyacanthus","MVNR01000039.1",1.202091,17,14.1420241895164,991.584656
