species,contig.name,contig.size_bp,contig.gene.count,contig.gene.dens_genes.per.bp,asmbly.size_bp,asmbly.gene.count
Vombatus ursinus,UNPS02014812.1,107888613,432,4.0041297036602e-06,3486580222,25096
Vombatus ursinus,UNPS02014798.1,88640571,729,8.22422499963363e-06,3486580222,25096
Vombatus ursinus,UNPS02014791.1,83077990,279,3.35829020418043e-06,3486580222,25096
Vombatus ursinus,UNPS02014832.1,77508583,429,5.53487089294356e-06,3486580222,25096
Vombatus ursinus,UNPS02014818.1,74408483,378,5.08006593818073e-06,3486580222,25096
Vombatus ursinus,UNPS02014779.1,68376588,311,4.54834043488687e-06,3486580222,25096
Vombatus ursinus,UNPS02009205.1,65329573,450,6.8881515573353e-06,3486580222,25096
Vombatus ursinus,UNPS02014807.1,64085236,458,7.14673189313058e-06,3486580222,25096
Vombatus ursinus,UNPS02014778.1,63773467,348,5.45681482237746e-06,3486580222,25096
Vombatus ursinus,UNPS02014786.1,56175218,455,8.0996570409393e-06,3486580222,25096
Vombatus ursinus,UNPS02014799.1,55984356,352,6.28747073557477e-06,3486580222,25096
Vombatus ursinus,UNPS02014830.1,53489853,238,4.44944202781787e-06,3486580222,25096
Vombatus ursinus,UNPS02014821.1,51872187,191,3.68212737974591e-06,3486580222,25096
Vombatus ursinus,UNPS02014810.1,50606515,295,5.82928897593521e-06,3486580222,25096
