species,contig.name,contig.size_bp,contig.gene.count,contig.gene.dens_genes.per.bp,asmbly.size_bp,asmbly.gene.count
Panthera leo,C2,215636507,2029,9.40935293484419e-06,2406807619,22742
Panthera leo,B2,202159989,1203,5.95073241718469e-06,2406807619,22742
Panthera leo,A3,162370222,1701,1.04760588428585e-05,2406807619,22742
Panthera leo,D1,153575715,1019,6.63516363899071e-06,2406807619,22742
Panthera leo,A1,150556863,1065,7.07373930871554e-06,2406807619,22742
Panthera leo,B4,142744295,1517,1.06273949512308e-05,2406807619,22742
Panthera leo,C1,138907064,1375,9.89870464759085e-06,2406807619,22742
Panthera leo,B1,136051765,1248,9.17297912305658e-06,2406807619,22742
Panthera leo,B3,119220462,863,7.2386902845587e-06,2406807619,22742
Panthera leo,VOCV01000391.1,110460757,764,6.91648347113899e-06,2406807619,22742
Panthera leo,D2,103461504,1243,1.20141303957847e-05,2406807619,22742
Panthera leo,E1,88963397,798,8.96998121598257e-06,2406807619,22742
Panthera leo,D4,86865429,714,8.21961058869576e-06,2406807619,22742
Panthera leo,D3,84615473,676,7.98908256413103e-06,2406807619,22742
Panthera leo,A2,81799643,395,4.82887193040684e-06,2406807619,22742
Panthera leo,X,81249997,444,5.46461558638581e-06,2406807619,22742
Panthera leo,F2,63417951,613,9.66603288712371e-06,2406807619,22742
Panthera leo,E2,56815668,1129,1.98712791689785e-05,2406807619,22742
Panthera leo,E3,54456820,1000,1.83631728771529e-05,2406807619,22742
Panthera leo,F1,37377875,591,1.58114927614264e-05,2406807619,22742
Panthera leo,VOCV01000222.1,25019197,161,6.43505864716601e-06,2406807619,22742
Panthera leo,VOCV01000149.1,2354169,37,1.57167985815802e-05,2406807619,22742
Panthera leo,VOCV01000384.1,1888843,27,1.42944649184713e-05,2406807619,22742
Panthera leo,VOCV01000250.1,1809944,85,4.6962778958907e-05,2406807619,22742
Panthera leo,VOCV01000867.1,1563987,71,4.53967967764438e-05,2406807619,22742
Panthera leo,VOCV01000390.1,1337678,8,5.98051250001869e-06,2406807619,22742
Panthera leo,VOCV01000310.1,1294803,18,1.39017286799614e-05,2406807619,22742
Panthera leo,VOCV01000249.1,1271060,31,2.43890925684075e-05,2406807619,22742
Panthera leo,VOCV01000381.1,1106351,31,2.80200406561751e-05,2406807619,22742
Panthera leo,VOCV01000260.1,1021094,51,4.99464300054647e-05,2406807619,22742
Panthera leo,VOCV01000737.1,1017170,55,5.40715907862009e-05,2406807619,22742
Panthera leo,VOCV01000387.1,965193,12,1.24327466112995e-05,2406807619,22742
Panthera leo,VOCV01000414.1,944329,39,4.12991658627449e-05,2406807619,22742
Panthera leo,VOCV01000188.1,930935,12,1.28902662377073e-05,2406807619,22742
Panthera leo,VOCV01000388.1,930538,26,2.79408256299044e-05,2406807619,22742
Panthera leo,VOCV01000305.1,901157,8,8.87747639978383e-06,2406807619,22742
Panthera leo,VOCV01000383.1,894820,19,2.12333206678438e-05,2406807619,22742
Panthera leo,VOCV01000262.1,887123,49,5.52347306968707e-05,2406807619,22742
