"species","name","size.Mbp","genecount","genedens","asmblysize.Mbp"
"Heterocephalus glaber","X",145.805425,1449,9.9379018304703,2500.134508
"Heterocephalus glaber","1",138.258151,1830,13.2361093126437,2500.134508
"Heterocephalus glaber","2",132.238438,1740,13.158050157852,2500.134508
"Heterocephalus glaber","3",126.069806,1088,8.6301394007063,2500.134508
"Heterocephalus glaber","4",122.200875,1638,13.4041593401029,2500.134508
"Heterocephalus glaber","5",118.632316,1934,16.302471916674,2500.134508
"Heterocephalus glaber","6",114.158715,1216,10.6518367870556,2500.134508
"Heterocephalus glaber","7",102.14753,1830,17.9152643240615,2500.134508
"Heterocephalus glaber","8",100.257478,1398,13.9440970178803,2500.134508
"Heterocephalus glaber","9",97.635687,1021,10.4572419304019,2500.134508
"Heterocephalus glaber","10",95.752777,982,10.2555772351125,2500.134508
"Heterocephalus glaber","11",87.83461,747,8.50462021747464,2500.134508
"Heterocephalus glaber","12",87.353839,1158,13.2564294054667,2500.134508
"Heterocephalus glaber","13",82.925904,1243,14.9892848922093,2500.134508
"Heterocephalus glaber","14",76.602446,767,10.0127351024796,2500.134508
"Heterocephalus glaber","15",76.05764,1340,17.6182169207459,2500.134508
"Heterocephalus glaber","16",75.664774,735,9.71389936352681,2500.134508
"Heterocephalus glaber","17",71.904291,1069,14.8669847812003,2500.134508
"Heterocephalus glaber","18",66.879539,638,9.53953943970816,2500.134508
"Heterocephalus glaber","19",60.818048,972,15.9820979456624,2500.134508
"Heterocephalus glaber","20",60.589259,1651,27.2490541599131,2500.134508
"Heterocephalus glaber","21",57.75641,519,8.98601557818431,2500.134508
"Heterocephalus glaber","22",56.501185,1111,19.6633044068014,2500.134508
"Heterocephalus glaber","OX090908.1",55.540967,1229,22.1278106303047,2500.134508
"Heterocephalus glaber","23",53.124525,1321,24.8661046851713,2500.134508
"Heterocephalus glaber","24",52.699057,727,13.7953132633853,2500.134508
"Heterocephalus glaber","25",45.902084,647,14.0952206004416,2500.134508
"Heterocephalus glaber","26",45.27684,646,14.2677801719378,2500.134508
"Heterocephalus glaber","27",38.402406,611,15.9104614434835,2500.134508
"Heterocephalus glaber","28",32.243814,680,21.0893165430119,2500.134508
"Heterocephalus glaber","29",22.899672,1353,59.0838156983209,2500.134508
"Heterocephalus glaber","MT",0.016386,37,2258.02514341511,2500.134508
