species,name,size.Mbp,genecount,genedens,asmblysize.Gbp
Knipowitschia caucasica,OZ035823.1,59.227272,1386,23.40138171,0.956593405
Knipowitschia caucasica,OZ035824.1,55.046542,1183,21.49090491,0.956593405
Knipowitschia caucasica,OZ035825.1,51.677075,1146,22.17617773,0.956593405
Knipowitschia caucasica,OZ035826.1,48.420791,994,20.52837179,0.956593405
Knipowitschia caucasica,OZ035827.1,47.067578,1102,23.41314439,0.956593405
Knipowitschia caucasica,OZ035828.1,46.953459,1049,22.34127202,0.956593405
Knipowitschia caucasica,OZ035829.1,46.070469,1088,23.61599575,0.956593405
Knipowitschia caucasica,OZ035830.1,45.340364,897,19.78369649,0.956593405
Knipowitschia caucasica,OZ035831.1,45.276533,1132,25.00191435,0.956593405
Knipowitschia caucasica,OZ035832.1,43.016011,932,21.66635116,0.956593405
Knipowitschia caucasica,OZ035833.1,42.281687,961,22.72851601,0.956593405
Knipowitschia caucasica,OZ035834.1,41.782514,944,22.59318336,0.956593405
Knipowitschia caucasica,OZ035835.1,41.086233,818,19.9093453,0.956593405
Knipowitschia caucasica,OZ035836.1,40.975907,1040,25.38076826,0.956593405
Knipowitschia caucasica,OZ035837.1,40.734471,855,20.9895938,0.956593405
Knipowitschia caucasica,OZ035838.1,40.714131,793,19.477267,0.956593405
Knipowitschia caucasica,OZ035839.1,38.598418,807,20.90759264,0.956593405
Knipowitschia caucasica,OZ035840.1,38.098372,1051,27.5864806,0.956593405
Knipowitschia caucasica,OZ035841.1,35.830102,755,21.07166762,0.956593405
Knipowitschia caucasica,OZ035842.1,33.193346,848,25.54728891,0.956593405
Knipowitschia caucasica,OZ035843.1,28.737611,581,20.21740777,0.956593405
Knipowitschia caucasica,OZ035844.1,23.499335,437,18.59627092,0.956593405
Knipowitschia caucasica,OZ035845.1,22.948807,702,30.58982543,0.956593405
