"species","name","size.Mb","genecount","genedens","asmblysize.Mb"
"Suricata suricatta","1",194.221078,1264,6.50804749420658,2353.578744
"Suricata suricatta","2",186.708106,1578,8.45169518242556,2353.578744
"Suricata suricatta","3",175.818673,1606,9.13441088251189,2353.578744
"Suricata suricatta","4",164.972924,1239,7.51032333039087,2353.578744
"Suricata suricatta","5",156.026045,1203,7.71025119556161,2353.578744
"Suricata suricatta","6",147.861781,1175,7.94661062550031,2353.578744
"Suricata suricatta","7",145.467977,1321,9.08103644006818,2353.578744
"Suricata suricatta","8",141.453419,2091,14.7822513925945,2353.578744
"Suricata suricatta","9",140.082955,1565,11.1719516482216,2353.578744
"Suricata suricatta","10",137.167901,1480,10.7896963444822,2353.578744
"Suricata suricatta","X",111.47621,956,8.57582079620396,2353.578744
"Suricata suricatta","11",109.239758,1582,14.4819068529976,2353.578744
"Suricata suricatta","12",106.191848,1643,15.4719974361874,2353.578744
"Suricata suricatta","13",90.215208,954,10.5747137444942,2353.578744
"Suricata suricatta","14",89.42593,870,9.72872185953224,2353.578744
"Suricata suricatta","15",78.599426,519,6.60310165623856,2353.578744
"Suricata suricatta","16",59.306649,1198,20.2000959453973,2353.578744
"Suricata suricatta","17",58.591448,1258,21.4707101964778,2353.578744
"Suricata suricatta","VCRZ01000024.1",0.761892,2,2.62504396948649,2353.578744
"Suricata suricatta","VCRZ01000180.1",0.48167,2,4.15222039985883,2353.578744
"Suricata suricatta","VCRZ01000021.1",0.416343,19,45.6354496172627,2353.578744
"Suricata suricatta","VCRZ01000181.1",0.395079,4,10.1245573670076,2353.578744
"Suricata suricatta","VCRZ01000023.1",0.277963,2,7.19520223914694,2353.578744
"Suricata suricatta","VCRZ01000025.1",0.219829,4,18.1959614063659,2353.578744
"Suricata suricatta","VCRZ01000027.1",0.184364,6,32.5443145082554,2353.578744
"Suricata suricatta","VCRZ01000153.1",0.111165,1,8.99563711599874,2353.578744
